5013719610510-99.9  2.0  0.009900  0.0-99.9-99.9-99.9-9.9 99 8.2 65  4.1   4  3.2-9.9-9.9
5013719610511-99.9  6.5  0.009900  2.0-99.9-99.9-99.9-9.9 9912.0 70  9.7   4  3.2-9.9-9.9
5013719610512-99.9  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.6 76 11.5   2  1.6-9.9-9.9
5013719610513-99.9  8.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.1 87 13.1   4  3.2-9.9-9.9
5013719610514-99.9 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.4 87 15.3   6  4.8-9.9-9.9
5013719610515-99.9 12.5  1.019900-99.9-99.9-99.9-99.9-9.9 9917.5 83 15.4   3  2.4-9.9-9.9
5013719610516-99.9 15.0  2.019900 15.0-99.9-99.9-99.9-9.9 9917.1 93 15.0  11  8.8-9.9-9.9
5013719610517-99.9 13.5  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 84 13.2  13 10.4-9.9-9.9
5013719610518-99.9  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.0 93 10.9   6  4.8-9.9-9.9
5013719610519-99.9  1.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 60  0.6   2  1.6-9.9-9.9
5013719610520-99.9  2.0  0.009900 -1.8-99.9-99.9-99.9-9.9 99 9.2 71  5.8   4  3.2-9.9-9.9
5013719610521-99.9  6.2  0.009900-99.9-99.9-99.9-99.9-9.9 9912.0 77  9.7   6  4.8-9.9-9.9
5013719610522-99.9  5.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 79 10.3   4  3.2-9.9-9.9
5013719610523-99.9  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 78 11.4   2  1.6-9.9-9.9
5013719610524-99.9 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.7 80 14.7   2  1.6-9.9-9.9
5013719610525-99.9 13.5  0.009900 11.0-99.9-99.9-99.9-9.9 9919.8 80 17.3   8  6.4-9.9-9.9
5013719610526-99.9 16.6 41.519900-99.9-99.9-99.9-99.9-9.9 9921.4 83 18.6   7  5.6-9.9-9.9
5013719610527-99.9 14.4  5.019900 16.2-99.9-99.9-99.9-9.9 9916.5 93 14.5  11  8.8-9.9-9.9
5013719610528-99.9 12.0  1.019900 12.4-99.9-99.9-99.9-9.9 9915.7 96 13.7   4  3.2-9.9-9.9
5013719610529-99.9 15.3  0.009900 16.0-99.9-99.9-99.9-9.9 9920.3 80 17.7  11  8.8-9.9-9.9
5013719610530-99.9 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.4 76 17.8   6  4.8-9.9-9.9
5013719610531-99.9 13.3  9.019900-99.9-99.9-99.9-99.9-9.9 9918.9 82 16.6   7  5.6-9.9-9.9
5013719610601-99.9  4.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610602-99.9  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610603-99.9 13.7  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610604-99.9  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610605-99.9  5.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610606-99.9  5.9  2.019900  3.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610607-99.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5013719610608-99.9  8.3  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
