5028319560728  8.4  0.8  0.009999-99.9-99.9-99.9-99.9 5.8 63-9.9-99-99.9 -99-99.9 5.7-9.9
5028319560729  6.4 -4.5  0.009999-99.9-99.9-99.9-99.9 0.6  6-9.9-99-99.9 -99-99.9 2.4-9.9
5028319560730  6.4 -7.2  0.009999-99.9-99.9-99.9-99.9 7.0 76-9.9-99-99.9 -99-99.9 6.7-9.9
5028319560731  6.4 -6.0  0.009999-99.9-99.9-99.9-99.9 6.5 70-9.9-99-99.9 -99-99.9 6.4-9.9
5028319560801  0.9 -6.4  0.009999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 2.1-9.9
5028319560802  7.9 -7.7  0.009999-99.9-99.9-99.9-99.9 9.2 98-9.9-99-99.9 -99-99.9 8.4-9.9
5028319560803  5.4 -7.1  0.009999-99.9-99.9-99.9-99.9 1.6 17-9.9-99-99.9 -99-99.9 3.3-9.9
5028319560804  7.2 -5.2  0.009999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 2.5-9.9
5028319560805 11.9 -3.5  0.009999-99.9-99.9-99.9-99.9 4.5 47-9.9-99-99.9 -99-99.9 5.4-9.9
5028319560806 15.9  6.0  0.009999-99.9-99.9-99.9-99.9 7.2 75-9.9-99-99.9 -99-99.9 7.4-9.9
5028319560807 12.4  3.0  0.009999-99.9-99.9-99.9-99.9 2.7 28-9.9-99-99.9 -99-99.9 4.2-9.9
5028319560808  8.0  1.9  0.009999-99.9-99.9-99.9-99.9 3.6 37-9.9-99-99.9 -99-99.9 4.9-9.9
5028319560809  7.9 -2.0  0.009999-99.9-99.9-99.9-99.9 6.3 65-9.9-99-99.9 -99-99.9 7.0-9.9
5028319560810  9.4  2.0  0.009999-99.9-99.9-99.9-99.9 4.6 47-9.9-99-99.9 -99-99.9 5.8-9.9
5028319560811 12.5  2.0  0.009999-99.9-99.9-99.9-99.9 1.3 13-9.9-99-99.9 -99-99.9 3.4-9.9
5028319560812 13.9  4.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.5-9.9
5028319560813 14.9  6.8  0.009999-99.9-99.9-99.9-99.9 0.8  8-9.9-99-99.9 -99-99.9 3.1-9.9
5028319560814  6.7 -0.8 14.619999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.6-9.9
5028319560815  0.9 -2.0 19.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.6-9.9
5028319560816  2.4 -5.7  0.319999-99.9-99.9-99.9-99.9 7.4 73-9.9-99-99.9 -99-99.9 8.5-9.9
5028319560817 14.3  2.4  0.009999-99.9-99.9-99.9-99.9 0.6  5-9.9-99-99.9 -99-99.9 3.1-9.9
5028319560818 15.7  3.8  0.619999-99.9-99.9-99.9-99.9 4.7 46-9.9-99-99.9 -99-99.9 6.6-9.9
5028319560819  9.4  2.0  0.009999-99.9-99.9-99.9-99.9 4.2 41-9.9-99-99.9 -99-99.9 6.2-9.9
5028319560820  7.6 -2.3  0.009999-99.9-99.9-99.9-99.9 8.6 83-9.9-99-99.9 -99-99.9 9.9-9.9
5028319560821  5.2 -4.8  0.419999-99.9-99.9-99.9-99.9 6.8 65-9.9-99-99.9 -99-99.9 8.5-9.9
5028319560822  5.8 -6.0  0.009999-99.9-99.9-99.9-99.9 5.7 54-9.9-99-99.9 -99-99.9 7.7-9.9
5028319560823 10.0  0.2  0.009999-99.9-99.9-99.9-99.9 1.2 11-9.9-99-99.9 -99-99.9 3.9-9.9
5028319560824 10.9  2.2  0.009999-99.9-99.9-99.9-99.9 3.6 34-9.9-99-99.9 -99-99.9 6.1-9.9
5028319560825 10.4 -2.0  0.819999-99.9-99.9-99.9-99.9 5.9 55-9.9-99-99.9 -99-99.9 8.2-9.9
5028319560826  6.4  1.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.1-9.9
5028319560827  9.9  2.0  0.009999-99.9-99.9-99.9-99.9 4.1 38-9.9-99-99.9 -99-99.9 6.8-9.9
5028319560828  8.9  0.6  0.009999-99.9-99.9-99.9-99.9 3.3 30-9.9-99-99.9 -99-99.9 6.1-9.9
5028319560829  8.4 -4.5  0.009999-99.9-99.9-99.9-99.910.6 98-9.9-99-99.9 -99-99.912.9-9.9
5028319560830  9.5 -2.5  0.009999-99.9-99.9-99.9-99.910.4 96-9.9-99-99.9 -99-99.912.9-9.9
5028319560831  8.3 -0.2  0.009999-99.9-99.9-99.9-99.9 0.4  3-9.9-99-99.9 -99-99.9 3.6-9.9
