5047719611121 26.0 14.2  0.009900-99.9-99.9-99.9-99.9-9.9 9915.5 65 13.5  12  9.6-9.9-9.9
5047719611122 28.1 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 54 12.4   7  5.6-9.9-9.9
5047719611123 27.0 15.0  8.519900-99.9-99.9-99.9-99.9-9.9 9919.2 77 16.9  11  8.8-9.9-9.9
5047719611124 27.3 17.8  0.009900-99.9-99.9-99.9-99.9-9.9 9920.5 76 17.9   6  4.8-9.9-9.9
5047719611125 29.5 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 56 15.1   9  7.2-9.9-9.9
5047719611126 30.5 15.7  0.009900-99.9-99.9-99.9-99.9-9.9 9920.2 57 17.7   9  7.2-9.9-9.9
5047719611127 28.5 19.0  1.519900-99.9-99.9-99.9-99.9-9.9 9921.8 83 18.9   9  7.2-9.9-9.9
5047719611128 27.8 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.9 70 18.2   7  5.6-9.9-9.9
5047719611129 32.0 16.0 15.519900-99.9-99.9-99.9-99.9-9.9 9921.4 66 18.6  21 16.8-9.9-9.9
5047719611130 23.6 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.3 88 17.7  13 10.4-9.9-9.9
5047719611201 28.0 17.0  5.719900-99.9-99.9-99.9-99.9-9.9 9920.2 72 17.7   9  7.2-9.9-9.9
5047719611202 28.7 16.0  0.009900-99.9-99.9-99.9-99.9-9.9 9918.4 66 16.2  14 11.2-9.9-9.9
5047719611203 26.0 13.8  4.819900-99.9-99.9-99.9-99.9-9.9 9916.9 66 14.9  16 12.8-9.9-9.9
5047719611204 28.5 16.6  0.009900-99.9-99.9-99.9-99.9-9.9 9920.9 67 18.2   7  5.6-9.9-9.9
5047719611205 32.0 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9919.1 59 16.8   9  7.2-9.9-9.9
5047719611206 32.5 19.4  0.009900-99.9-99.9-99.9-99.9-9.9 9920.9 59 18.2  17 13.6-9.9-9.9
5047719611207 33.0 19.0 10.019900-99.9-99.9-99.9-99.9-9.9 9920.6 53 18.0  21 16.8-9.9-9.9
5047719611208 26.5 16.0 13.019900-99.9-99.9-99.9-99.9-9.9 9918.2 95 16.0  16 12.8-9.9-9.9
5047719611209 27.0 11.7  0.009900-99.9-99.9-99.9-99.9-9.9 9917.3 82 15.2  19 15.2-9.9-9.9
5047719611210 26.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9918.0 74 15.8   6  4.8-9.9-9.9
5047719611211 30.5 13.5  0.009900-99.9-99.9-99.9-99.9-9.9 9922.5 68 19.4   7  5.6-9.9-9.9
5047719611212 29.3 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 54 14.5  14 11.2-9.9-9.9
5047719611213 33.5 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9921.9 61 19.0   9  7.2-9.9-9.9
5047719611214 33.0 16.4  1.019900-99.9-99.9-99.9-99.9-9.9 9927.2 70 22.5   6  4.8-9.9-9.9
5047719611215 26.2 18.2 18.719900-99.9-99.9-99.9-99.9-9.9 9924.6 90 20.8   9  7.2-9.9-9.9
5047719611216 27.5 18.9  0.009900-99.9-99.9-99.9-99.9-9.9 9925.9 87 21.7  23 18.4-9.9-9.9
5047719611217 30.0 15.9  0.009900-99.9-99.9-99.9-99.9-9.9 9929.2 86 23.6  11  8.8-9.9-9.9
5047719611218 27.5 18.0 29.019900-99.9-99.9-99.9-99.9-9.9 9929.0 90 23.5  16 12.8-9.9-9.9
5047719611219 22.8 16.8 18.019900-99.9-99.9-99.9-99.9-9.9 9922.6 95 19.5  24 19.2-9.9-9.9
5047719611220 23.3 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 74 12.8  17 13.6-9.9-9.9
5047719611221 25.5 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.1 68 15.0  11  8.8-9.9-9.9
5047719611222 30.0 15.1  0.009900-99.9-99.9-99.9-99.9-9.9 9922.1 64 19.1   7  5.6-9.9-9.9
5047719611223 25.0 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.0 55  8.4  23 18.4-9.9-9.9
5047719611224 28.0 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 9915.5 57 13.5   9  7.2-9.9-9.9
5047719611225 30.0 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9919.5 59 17.1   9  7.2-9.9-9.9
5047719611226 31.5 19.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.4 57 17.8   7  5.6-9.9-9.9
5047719611227 30.0 18.8  0.009900-99.9-99.9-99.9-99.9-9.9 9921.6 64 18.7   4  3.2-9.9-9.9
5047719611228 30.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9922.7 66 19.5  15 12.0-9.9-9.9
