5041919700519 14.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 73  4.6  11  8.8-9.9-9.9
5041919700520 17.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 66  3.0  14 11.2-9.9-9.9
5041919700521 22.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 54  5.4  13 10.4-9.9-9.9
5041919700522 21.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.0 71  8.4   6  4.8-9.9-9.9
5041919700523 24.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 65  8.1   3  2.4-9.9-9.9
5041919700524 22.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.1 70 11.0  15 12.0-9.9-9.9
5041919700525 24.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 67  7.8  13 10.4-9.9-9.9
5041919700526 21.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 61  6.2   8  6.4-9.9-9.9
5041919700527 19.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.8 72 11.8  29 23.2-9.9-9.9
5041919700528 24.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 46  1.3   7  5.6-9.9-9.9
5041919700529 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 56  2.5   8  6.4-9.9-9.9
5041919700530 18.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 76  5.8   6  4.8-9.9-9.9
5041919700531 15.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 73  6.4   0  0.0-9.9-9.9
5041919700601 15.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 74  0.6   0  0.0-9.9-9.9
5041919700602 16.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 69  3.6   9  7.2-9.9-9.9
5041919700603 15.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 80  3.6   6  4.8-9.9-9.9
5041919700604 13.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 73  1.5   6  4.8-9.9-9.9
5041919700605 13.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 53 -3.3   9  7.2-9.9-9.9
5041919700606 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 42 -2.2   7  5.6-9.9-9.9
