5018619680330 24.0 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 68 12.3   7  5.6-9.9-9.9
5018619680331 17.3  9.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 64  5.3   9  7.2-9.9-9.9
5018619680401 20.1  3.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 69  6.7   4  3.2-9.9-9.9
5018619680402 22.0  5.3  0.319900-99.9-99.9-99.9-99.9-9.9 9912.3 76 10.0   6  4.8-9.9-9.9
5018619680403 19.4 10.7  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 67  7.4   7  5.6-9.9-9.9
5018619680404 17.4  5.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 72  5.6   6  4.8-9.9-9.9
5018619680405 15.4  4.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 70  5.0   6  4.8-9.9-9.9
5018619680406 20.1  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 77  6.8   4  3.2-9.9-9.9
5018619680407 26.4  4.6  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 58  8.2   7  5.6-9.9-9.9
5018619680408 29.0 11.6  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 71 13.2   4  3.2-9.9-9.9
5018619680409 29.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 59 11.4   4  3.2-9.9-9.9
5018619680410 29.0 11.3  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 56 11.6   7  5.6-9.9-9.9
5018619680411 23.4 10.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 52  6.4   6  4.8-9.9-9.9
5018619680412 18.7  6.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 69  6.2   4  3.2-9.9-9.9
5018619680413 21.3  2.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 68  5.6   4  3.2-9.9-9.9
5018619680414 23.4  6.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 63  7.7   4  3.2-9.9-9.9
5018619680415 26.0  9.6  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 63 10.1   4  3.2-9.9-9.9
5018619680416 21.4 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.3 71 11.2   7  5.6-9.9-9.9
5018619680417 25.0  8.1  3.019900-99.9-99.9-99.9-99.9-9.9 9912.2 65  9.9   7  5.6-9.9-9.9
5018619680418 21.7 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.1 82 13.1   4  3.2-9.9-9.9
5018619680419 20.1  2.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.7 62  3.2   2  1.6-9.9-9.9
5018619680420 15.4  0.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 71  3.4   6  4.8-9.9-9.9
5018619680421 19.6  1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 51  1.9   6  4.8-9.9-9.9
5018619680422 23.4  8.7  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 59  7.4   6  4.8-9.9-9.9
5018619680423 17.4  4.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 70  5.0   2  1.6-9.9-9.9
5018619680424 19.5  2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 64  3.9   6  4.8-9.9-9.9
5018619680425 23.0  4.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 61  4.3   4  3.2-9.9-9.9
5018619680426 24.3  5.6  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 65  9.3   4  3.2-9.9-9.9
5018619680427 19.3  6.6  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 70  7.8   7  5.6-9.9-9.9
5018619680428 18.7  3.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 65  2.9   6  4.8-9.9-9.9
5018619680429 16.0  4.0  3.019900-99.9-99.9-99.9-99.9-9.9 99 8.9 72  5.3   7  5.6-9.9-9.9
5018619680430 15.0  2.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 76  3.8   7  5.6-9.9-9.9
5018619680501 19.7  3.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 67  6.1   6  4.8-9.9-9.9
5018619680502 23.0  5.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 54  2.7   7  5.6-9.9-9.9
5018619680503 25.4  4.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 54  5.0   4  3.2-9.9-9.9
5018619680504 18.9  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 71  6.7   7  5.6-9.9-9.9
5018619680505 22.1  3.4  0.009900-99.9-99.9-99.9-99.9-9.9 9910.4 75  7.5   4  3.2-9.9-9.9
5018619680506 25.7  3.6  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 65  7.1   6  4.8-9.9-9.9
5018619680507 27.7 11.4  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 55  8.2   4  3.2-9.9-9.9
5018619680508 22.1 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 49  4.6   7  5.6-9.9-9.9
5018619680509 22.4  1.5  3.019900-99.9-99.9-99.9-99.9-9.9 99 7.2 50  2.3   7  5.6-9.9-9.9
5018619680510 19.7  9.3  0.009900-99.9-99.9-99.9-99.9-9.9 9911.9 71  9.5   7  5.6-9.9-9.9
5018619680511 20.0  3.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 55  2.9   4  3.2-9.9-9.9
5018619680512 28.4 10.6 21.019900-99.9-99.9-99.9-99.9-9.9 9910.6 51  7.8   7  5.6-9.9-9.9
