5029320171017-99.9-99.9  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 56-99.9  39 31.2-9.9-9.9
5029320171018-99.9  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9  21 16.8-9.9-9.9
5029320171019-99.9  1.3  2.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  12  9.6-9.9-9.9
5029320171023-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 60-99.9  32 25.6-9.9-9.9
5029320171024-99.9  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  24 19.2-9.9-9.9
5029320171025-99.9  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  19 15.2-9.9-9.9
5029320171030-99.9  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 66-99.9   8  6.4-9.9-9.9
5029320171031-99.9 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9   9  7.2-9.9-9.9
5029320171101-99.9 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  10  8.0-9.9-9.9
5029320171102-99.9 -0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 35-99.9  17 13.6-9.9-9.9
5029320171106-99.9  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  12  9.6-9.9-9.9
5029320171107-99.9  2.1  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9   6  4.8-9.9-9.9
5029320171108-99.9  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9   6  4.8-9.9-9.9
5029320171109-99.9  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 53-99.9   7  5.6-9.9-9.9
5029320171114-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9  27 21.6-9.9-9.9
5029320171115-99.9  3.9  0.519999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  28 22.4-9.9-9.9
5029320171116-99.9  3.3  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9 91-99.9  17 13.6-9.9-9.9
5029320171121-99.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 53-99.9  23 18.4-9.9-9.9
5029320171122-99.9  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  28 22.4-9.9-9.9
5029320171123-99.9  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  36 28.8-9.9-9.9
5029320171129-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 37-99.9  20 16.0-9.9-9.9
5029320171130-99.9  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  22 17.6-9.9-9.9
5029320171205-99.9  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  27 21.6-9.9-9.9
5029320171206-99.9  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 41-99.9  26 20.8-9.9-9.9
5029320171211-99.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9  20 16.0-9.9-9.9
5029320171212-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  20 16.0-9.9-9.9
5029320171213-99.9  8.3  3.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 40-99.9  30 24.0-9.9-9.9
5029320171218-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  30 24.0-9.9-9.9
5029320171219-99.9  2.2  0.419999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9   9  7.2-9.9-9.9
