5026619590422  8.0  1.0  0.519900-99.9-99.9-99.9-99.9 0.9  9 5.2 75 -2.2   6  4.8 4.1 1.0
5026619590423  8.5  1.5 32.519900-99.9-99.9-99.9-99.9 0.0  0 6.9 89  1.7  33 26.4 3.2 1.5
5026619590424  9.5  6.0  1.919900-99.9-99.9-99.9-99.9 0.0  0 7.3 92  2.5  36 28.8 3.2 2.4
5026619590425  9.5  4.0  0.009900-99.9-99.9-99.9-99.9 0.3  3 5.5 74 -1.4  12  9.6 3.4 1.6
5026619590426 12.6  3.2  0.009900-99.9-99.9-99.9-99.9 4.6 45 5.4 63 -1.7  18 14.4 7.3 2.0
5026619590427 19.5  8.2  0.009900-99.9-99.9-99.9-99.9 5.3 52 6.5 55  0.9  16 12.8 7.8 2.7
5026619590428 19.6  9.5  7.419900-99.9-99.9-99.9-99.9 2.8 27 7.3 63  2.5  14 11.2 5.5 2.5
5026619590429 11.5  6.0  8.919900-99.9-99.9-99.9-99.9 0.0  0 6.5 87  0.9  37 29.6 3.0 3.4
5026619590430 10.5  1.0  0.009900-99.9-99.9-99.9-99.9 8.6 85 4.9 72 -3.0  10  8.010.5 1.2
5026619590501 13.8  2.0  0.219900-99.9-99.9-99.9-99.9 1.0 10 5.9 66 -0.5   8  6.4 3.7 1.3
5026619590502 11.5  3.4  0.009900-99.9-99.9-99.9-99.9 7.8 78 5.3 70 -1.9  30 24.0 9.6 2.9
5026619590503 14.9  3.2  0.009900-99.9-99.9-99.9-99.9 7.7 77 4.7 49 -3.6  24 19.2 9.4 3.1
5026619590504 15.4  6.0  0.009900-99.9-99.9-99.9-99.9 5.2 52 5.9 59 -0.5  17 13.6 7.2 2.4
5026619590505 18.4  6.8  0.519900-99.9-99.9-99.9-99.9 0.0  0 6.9 57  1.7  17 13.6 2.7 2.7
5026619590506 18.5 10.4  4.519900-99.9-99.9-99.9-99.9 0.0  0 7.6 65  3.0  11  8.8 2.7 2.3
5026619590507 11.5  5.2  0.009900-99.9-99.9-99.9-99.9 8.6 88 4.9 62 -3.0  19 15.2 9.7 2.4
5026619590508 10.4  3.5  0.009900-99.9-99.9-99.9-99.9 8.0 82 5.2 69 -2.2  13 10.4 9.1 1.5
5026619590509  9.5  2.2  0.009900-99.9-99.9-99.9-99.9 3.5 36 5.3 76 -1.9  18 14.4 5.4 1.6
5026619590510  7.4  3.4  0.009900-99.9-99.9-99.9-99.9 1.9 20 4.8 67 -3.3  10  8.0 4.1 1.2
5026619590511  8.0  1.2  0.009900-99.9-99.9-99.9-99.9 2.3 24 4.6 69 -3.8  17 13.6 4.3 1.6
5026619590512  9.5  2.0  0.009900-99.9-99.9-99.9-99.9 2.7 28 4.7 63 -3.6  41 32.8 4.6 3.5
5026619590513-99.9  6.0  0.009900-99.9-99.9-99.9-99.9 7.9 83 5.7 60 -1.0  23 18.4 8.6-9.9
5026619590514 14.4  7.4  0.009900-99.9-99.9-99.9-99.9 4.8 50 4.6 51 -3.8  18 14.4 6.1 3.0
5026619590515 12.5  3.3  0.009900-99.9-99.9-99.9-99.9 6.4 67 4.7 56 -3.6   8  6.4 7.3 1.4
5026619590516 11.2  3.4  0.009900-99.9-99.9-99.9-99.9 8.3 88 4.3 57 -4.7   9  7.2 8.7 1.5
