5044119690125 33.4  7.9  0.009900-99.9-99.9-99.9-99.9 7.0 4915.9 50 13.9  36 28.819.3 6.5
5044119690126 35.8 17.0  0.009900-99.9-99.9-99.9-99.9 6.0 4218.4 48 16.2  30 24.017.6 7.7
5044119690127 35.1 15.4  0.009900-99.9-99.9-99.9-99.9 8.0 5717.4 50 15.3   9  7.220.8 5.4
5044119690128 32.6 17.4  0.009900-99.9-99.9-99.9-99.9 7.0 5020.2 68 17.7  26 20.819.1 6.5
5044119690129 37.1 17.9 12.019900-99.9-99.9-99.9-99.9 7.3 5221.7 55 18.8  42 33.619.6 9.0
5044119690130 34.1 16.9166.019900-99.9-99.9-99.9-99.9 0.0  021.7 98 18.8  30 24.0 7.5 4.9
5044119690131 27.6 16.9  0.009900-99.9-99.9-99.9-99.9 3.6 2624.4 88 20.7  36 28.813.4 3.5
5044119690201 19.2 11.9  0.009900-99.9-99.9-99.9-99.9 6.5 4611.9 70  9.5  28 22.418.1 4.8
5044119690202 23.6  7.3  0.009900-99.9-99.9-99.9-99.9 6.4 4614.8 74 12.8   1  0.817.9 2.8
5044119690203 29.8 12.9  0.009900-99.9-99.9-99.9-99.9 7.3 5217.7 66 15.6  34 27.219.3 6.0
5044119690204 30.1 19.4  2.019900-99.9-99.9-99.9-99.9 1.2  924.2 75 20.6  12  9.6 9.3 3.0
5044119690205 31.9 18.9  0.009900-99.9-99.9-99.9-99.9 7.7 5624.6 82 20.8  17 13.619.8 5.2
5044119690206 26.7 11.4  0.009900-99.9-99.9-99.9-99.9 6.0 4319.3 80 16.9  22 17.617.0 3.6
5044119690207 31.6 11.9 22.119900-99.9-99.9-99.9-99.9 5.3 3821.2 80 18.4  37 29.615.8 4.7
5044119690208 23.6  9.4  0.009900-99.9-99.9-99.9-99.9 6.3 4616.8 73 14.8  21 16.817.4 3.2
5044119690209 27.1 12.9  0.009900-99.9-99.9-99.9-99.9 2.8 2021.5 75 18.7  27 21.611.7 2.7
5044119690210 30.2 16.1  1.019900-99.9-99.9-99.9-99.9 1.7 1221.1 74 18.4  14 11.2 9.9 3.3
5044119690211 23.6 11.4  0.009900-99.9-99.9-99.9-99.9 3.2 2314.6 72 12.6  59 47.212.2 5.7
5044119690212 21.6  8.9  0.009900-99.9-99.9-99.9-99.9 5.3 3912.7 67 10.5  19 15.215.5 3.5
5044119690213 31.6 10.9  0.009900-99.9-99.9-99.9-99.9 5.0 3717.9 65 15.8  38 30.415.0 5.5
5044119690214 33.1 10.4  0.009900-99.9-99.9-99.9-99.9 5.0 3718.3 62 16.1  28 22.414.9 5.0
5044119690215 23.7  9.9  0.009900-99.9-99.9-99.9-99.9 5.5 4116.2 74 14.2  15 12.015.7 3.0
5044119690216 20.6 11.3  0.009900-99.9-99.9-99.9-99.9 3.4 2513.2 68 11.1  45 36.012.3 4.7
