5046519610831  2.5-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 6.1 90  0.0   2  1.6-9.9-9.9
5046519610901  2.5-99.9  1.519900-99.9-99.9-99.9-99.9-9.9 99 5.7 86 -1.0   9  7.2-9.9-9.9
5046519610902  5.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.5 50 -7.4  13 10.4-9.9-9.9
5046519610903  5.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.8 61 -6.4  13 10.4-9.9-9.9
5046519610904  5.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.3 54 -8.2  11  8.8-9.9-9.9
5046519610905  9.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.5 31-11.7  21 16.8-9.9-9.9
5046519610906  7.5-99.9  5.019901-99.9-99.9-99.9-99.9-9.9 99 3.8 56 -6.4   6  4.8-9.9-9.9
5046519610907  5.5-99.9  3.319901-99.9-99.9-99.9-99.9-9.9 99 5.3 75 -1.9   2  1.6-9.9-9.9
5046519610908  7.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.8 51 -6.4  14 11.2-9.9-9.9
5046519610909 12.5-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 2.9 28 -9.8   8  6.4-9.9-9.9
5046519610910  7.0-99.9  1.519901-99.9-99.9-99.9-99.9-9.9 99 3.2 44 -8.6  24 19.2-9.9-9.9
5046519610911 12.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.6 36 -7.1  18 14.4-9.9-9.9
5046519610912 10.0-99.9  2.819901-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -0.7   6  4.8-9.9-9.9
5046519610913  5.5-99.9  2.619901-99.9-99.9-99.9-99.9-9.9 99 5.9 91 -0.5   4  3.2-9.9-9.9
5046519610914  7.0-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 5.7 80 -1.0   1  0.8-9.9-9.9
5046519610915  6.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 60 -1.2   7  5.6-9.9-9.9
