5036619600706  8.3  4.7  0.419900-99.9-99.9-99.9-99.9 0.0  0 7.9 85  3.6   4  3.2 3.8 0.8
5036619600707  9.3  1.6  0.009900-99.9-99.9-99.9-99.9 2.8 27 6.6 83  1.1   7  5.6 6.9 1.0
5036619600708 16.4 -2.2  0.009900-99.9-99.9-99.9-99.9 8.4 80 5.8 63 -0.7   1  0.813.2 0.9
5036619600709 19.0 -1.9  0.009900-99.9-99.9-99.9-99.9 7.9 75 6.4 64  0.6   4  3.212.6 1.1
5036619600710 19.4 -0.8  0.009900-99.9-99.9-99.9-99.9 6.4 61 7.0 66  1.9   6  4.811.0 1.3
5036619600711 19.2  1.1  0.009900-99.9-99.9-99.9-99.9 6.4 61-9.9-99-99.9 -99-99.911.0-9.9
5036619600712 24.1  5.1  0.009900-99.9-99.9-99.9-99.9 6.7 64-9.9-99-99.9 -99-99.911.4-9.9
5036619600713 21.9  7.3  0.009900-99.9-99.9-99.9-99.9 0.9  9-9.9-99-99.9 -99-99.9 4.9-9.9
5036619600714 18.0  8.8  2.319900-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.9-9.9
5036619600715 16.2 10.2  0.919900-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.9-9.9
5036619600716 17.3  8.7  0.009900-99.9-99.9-99.9-99.9 5.3 50-9.9-99-99.9 -99-99.910.0-9.9
5036619600717 25.6  4.6  0.009900-99.9-99.9-99.9-99.9 8.9 84-9.9-99-99.9 -99-99.914.1-9.9
5036619600718 20.6  3.6  0.009900-99.9-99.9-99.9-99.9 7.6 72-9.9-99-99.9 -99-99.912.7-9.9
5036619600719 17.4  7.6  0.009900-99.9-99.9-99.9-99.9 2.2 21-9.9-99-99.9 -99-99.9 6.5-9.9
5036619600720 19.6  3.1  0.009900-99.9-99.9-99.9-99.9 7.5 70-9.9-99-99.9 -99-99.912.7-9.9
5036619600721 16.9  7.6  0.009900-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.1-9.9
5036619600722 19.0 11.1  0.009900-99.9-99.9-99.9-99.9 3.8 36-9.9-99-99.9 -99-99.9 8.5-9.9
5036619600723 20.5  3.8  0.009900-99.9-99.9-99.9-99.9 3.0 28-9.9-99-99.9 -99-99.9 7.6-9.9
5036619600724 14.4  3.8  0.009900-99.9-99.9-99.9-99.9 2.7 25-9.9-99-99.9 -99-99.9 7.3-9.9
5036619600725 21.4  8.8  0.419900-99.9-99.9-99.9-99.9 5.0 4713.2 74 11.1   7  5.610.0 1.5
5036619600726 16.4 13.0  1.419900-99.9-99.9-99.9-99.9 0.0  014.5 94 12.5   2  1.6 4.2 0.9
5036619600727 25.0  7.0  0.009900-99.9-99.9-99.9-99.9 8.7 8113.2 79 11.1   6  4.814.5 1.8
5036619600728 29.8  7.0  0.009900-99.9-99.9-99.9-99.9 9.1 8412.7 65 10.5   3  2.415.1 1.9
5036619600729 18.4  9.4  0.009900-99.9-99.9-99.9-99.9 0.9  8 9.3 63  5.9  22 17.6 5.3 2.9
5036619600730 15.8  8.7  0.009900-99.9-99.9-99.9-99.9 4.5 42 4.8 38 -3.3   9  7.2 9.7 2.5
5036619600731 15.4  6.1  0.009900-99.9-99.9-99.9-99.9 3.8 35 7.3 63  2.5   6  4.8 8.9 1.6
5036619600801 12.5  6.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 7.1 67  2.1   6  4.8 4.3 1.4
5036619600802 17.5 -1.5  0.009900-99.9-99.9-99.9-99.9 7.3 67 6.4 59  0.6   7  5.613.3 1.6
5036619600803 22.1  2.4  0.009900-99.9-99.9-99.9-99.9 8.3 76 7.3 53  2.5  11  8.814.6 2.3
5036619600804 22.4  3.3  0.009900-99.9-99.9-99.9-99.9 8.5 78 7.9 58  3.6   9  7.214.9 2.2
5036619600805 19.8  4.5  0.009900-99.9-99.9-99.9-99.9 4.3 39 8.8 64  5.1   6  4.8 9.8 1.7
5036619600806 22.4  7.1  0.009900-99.9-99.9-99.9-99.9 6.6 6010.6 70  7.8   7  5.612.7 2.0
5036619600807 27.7  7.5  0.009900-99.9-99.9-99.9-99.9 8.2 7511.0 60  8.4  14 11.214.7 3.1
5036619600808 28.0  9.2  0.009900-99.9-99.9-99.9-99.9 7.7 7012.8 63 10.6   4  3.214.2 2.2
5036619600809 29.4 10.9  0.009900-99.9-99.9-99.9-99.9 7.6 6913.4 59 11.3   7  5.614.2 2.7
