5012919610423-99.9  3.8  0.009900-99.9-99.9-99.9-99.9 9.3 85 1.9 18-15.0  21 16.815.7-9.9
5012919610424-99.9 -2.0  0.009900-99.9-99.9-99.9-99.9 9.3 85 2.0 30-14.4  19 15.215.6-9.9
5012919610425-99.9 -1.5  0.009900-99.9-99.9-99.9-99.9 9.3 85 1.5 19-17.9  26 20.815.5-9.9
5012919610426-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 8.8 81 1.3 18-19.5  25 20.014.8-9.9
5012919610427-99.9  0.0  0.009900-99.9-99.9-99.9-99.9 8.1 74 0.7  6-26.5  28 22.413.8-9.9
5012919610428-99.9  3.9  0.009900-99.9-99.9-99.9-99.9 8.8 81 1.3-99-19.5  23 18.414.6-9.9
5012919610429-99.9  0.7  0.009900-99.9-99.9-99.9-99.9 8.8 81 1.3 14-19.5  19 15.214.5-9.9
5012919610430-99.9 -0.5  0.009900-99.9-99.9-99.9-99.9 8.7 81 1.6 22-17.1  17 13.614.2-9.9
5012919610501-99.9 -2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  17 13.6-9.9-9.9
5012919610502-99.9 -1.8  0.009900-99.9-99.9-99.9-99.9 8.8 82 2.5 41-11.7   9  7.214.2-9.9
5012919610503-99.9 -0.3  0.009900-99.9-99.9-99.9-99.9 8.8 82-9.9-99-99.9  29 23.214.1-9.9
5012919610504-99.9  5.0  0.619900-99.9-99.9-99.9-99.9 0.0  0 5.6 57 -1.2  11  8.8 4.0-9.9
5012919610505-99.9  4.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 3.7 41 -6.7  28 22.4 3.9-9.9
5012919610506-99.9 -4.3  0.009900-99.9-99.9-99.9-99.9 9.0 85 2.2 31-13.3  11  8.814.0-9.9
5012919610507-99.9 -0.5  0.009900-99.9-99.9-99.9-99.9 8.7 82 1.7 20-16.4  22 17.613.6-9.9
5012919610508-99.9  1.4  0.009900-99.9-99.9-99.9-99.9 9.0 85 1.3 11-19.5  27 21.613.8-9.9
5012919610509-99.9  4.0  0.009900-99.9-99.9-99.9-99.9 5.6 53 2.6 37-11.2  19 15.210.0-9.9
5012919610510-99.9 -3.9  0.009900-99.9-99.9-99.9-99.9 7.8 74 2.1 30-13.8  11  8.812.3-9.9
5012919610511-99.9 -3.5  0.009900-99.9-99.9-99.9-99.9 8.8 84 1.6 23-17.1  22 17.613.3-9.9
5012919610512-99.9 -1.3  0.009900-99.9-99.9-99.9-99.9 8.5 81 1.7 23-16.4  26 20.812.9-9.9
