5050119670930-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119671001 21.5 12.8  2.019900 10.0-99.9-99.9-99.9-9.9 9916.7 89 14.7  14 11.2-9.9-9.9
5050119671002 20.9 12.7  0.009900 11.4-99.9-99.9-99.9-9.9 9910.2 53  7.3  20 16.0-9.9-9.9
5050119671003 20.0  4.0  0.009900  1.1-99.9-99.9-99.9-9.9 99 7.3 44  2.5  19 15.2-9.9-9.9
5050119671004 16.9  7.9  0.009900  5.8-99.9-99.9-99.9-9.9 99 6.5 47  0.9  20 16.0-9.9-9.9
5050119671005 26.3  6.6  0.009900  3.8-99.9-99.9-99.9-9.9 99 8.2 37  4.1  28 22.4-9.9-9.9
5050119671006 21.9  8.9  0.009900  6.0-99.9-99.9-99.9-9.9 99 8.2 45  4.1   5  4.0-9.9-9.9
5050119671007 16.1  6.5  2.419900  3.8-99.9-99.9-99.9-9.9 99 9.8 64  6.7  28 22.4-9.9-9.9
5050119671008 17.3  9.1  1.019900  8.5-99.9-99.9-99.9-9.9 9914.1 90 12.1   8  6.4-9.9-9.9
5050119671009 15.0  6.9  0.009900  5.0-99.9-99.9-99.9-9.9 9910.9 81  8.2  27 21.6-9.9-9.9
5050119671010  9.1  7.6  0.919900-99.9-99.9-99.9-99.9-9.9 99 9.7 87  6.5  17 13.6-9.9-9.9
5050119671011 11.5  7.6  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 90  7.7   8  6.4-9.9-9.9
5050119671012 20.2  1.2  0.519900-99.9-99.9-99.9-99.9-9.9 9910.4 68  7.5  14 11.2-9.9-9.9
5050119671013 23.9 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 63  8.1  30 24.0-9.9-9.9
5050119671014 12.4  3.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 77  6.1  18 14.4-9.9-9.9
5050119671015 12.6  3.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 69  5.1  20 16.0-9.9-9.9
5050119671016 12.9  6.6 12.219900-99.9-99.9-99.9-99.9-9.9 9910.3 78  7.4  30 24.0-9.9-9.9
5050119671017 10.8  9.1 33.319900-99.9-99.9-99.9-99.9-9.9 9911.6 97  9.2  44 35.2-9.9-9.9
5050119671018 10.4  6.7  8.119900-99.9-99.9-99.9-99.9-9.9 9910.8 95  8.1  59 47.2-9.9-9.9
5050119671019 12.5  6.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 76  5.8  19 15.2-9.9-9.9
5050119671020 18.7  4.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.2 81  9.9  10  8.0-9.9-9.9
5050119671021 16.7  6.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 61  5.6  20 16.0-9.9-9.9
5050119671022 22.9  6.2  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 53  7.1  19 15.2-9.9-9.9
5050119671023 17.5  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 55  4.8  12  9.6-9.9-9.9
5050119671024 25.6  8.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 52  8.0  22 17.6-9.9-9.9
5050119671025 27.1  9.8  0.009900-99.9-99.9-99.9-99.9-9.9 9915.7 65 13.7  19 15.2-9.9-9.9
5050119671026 21.3 13.0 18.619900-99.9-99.9-99.9-99.9-9.9 9917.5 90 15.4  20 16.0-9.9-9.9
5050119671027 20.6 11.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 50  5.1  23 18.4-9.9-9.9
5050119671028 19.5  6.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 62  5.0  19 15.2-9.9-9.9
5050119671029 23.9  4.9  5.319900-99.9-99.9-99.9-99.9-9.9 9912.9 72 10.7  21 16.8-9.9-9.9
5050119671030 22.8  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.1 81 15.0  14 11.2-9.9-9.9
5050119671031 21.7 12.8  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 83 14.8  14 11.2-9.9-9.9
5050119671101 19.7 10.8  0.009900  7.9-99.9-99.9-99.9-9.9 9912.7 72 10.5  19 15.2-9.9-9.9
5050119671102 24.2  8.0  0.009900  5.5-99.9-99.9-99.9-9.9 9911.5 59  9.0 -99-99.9-9.9-9.9
5050119671103 29.8  6.6  0.009900  3.8-99.9-99.9-99.9-9.9 9914.7 55 12.7  15 12.0-9.9-9.9
5050119671104 27.8 14.5  0.009900 10.0-99.9-99.9-99.9-9.9 9915.8 55 13.8  22 17.6-9.9-9.9
5050119671105 29.0 15.3  0.009900 11.0-99.9-99.9-99.9-9.9 9917.0 62 15.0  22 17.6-9.9-9.9
5050119671106 27.6 12.3  0.009900  9.9-99.9-99.9-99.9-9.9 9913.4 50 11.3  17 13.6-9.9-9.9
5050119671107 25.9  9.1  0.009900  6.9-99.9-99.9-99.9-9.9 9913.7 65 11.6  12  9.6-9.9-9.9
5050119671108 27.4 14.3  1.419900 11.0-99.9-99.9-99.9-9.9 9912.1 47  9.8  16 12.8-9.9-9.9
5050119671109 22.5 15.5  2.819900 14.2-99.9-99.9-99.9-9.9 9918.2 83 16.0  13 10.4-9.9-9.9
5050119671110 19.1  7.4  0.009900  4.8-99.9-99.9-99.9-9.9 99 8.2 47  4.1  17 13.6-9.9-9.9
5050119671111 22.5  5.8  0.009900  2.0-99.9-99.9-99.9-9.9 99 9.3 48  5.9  17 13.6-9.9-9.9
5050119671112 20.4  7.3  0.009900  4.5-99.9-99.9-99.9-9.9 9910.2 54  7.3  24 19.2-9.9-9.9
5050119671113 26.9 13.1  0.009900  9.8-99.9-99.9-99.9-9.9 9915.2 67 13.2  13 10.4-9.9-9.9
5050119671114 25.5  8.8  0.009900  6.1-99.9-99.9-99.9-9.9 9910.3 46  7.4  18 14.4-9.9-9.9
5050119671115 31.4 14.4  0.009900 10.0-99.9-99.9-99.9-9.9 9910.7 35  8.0  22 17.6-9.9-9.9
5050119671116 31.0 16.1  1.019900 12.8-99.9-99.9-99.9-9.9 9917.1 63 15.0  17 13.6-9.9-9.9
5050119671117 26.3 15.0  0.009900 14.7-99.9-99.9-99.9-9.9 9910.4 42  7.5  15 12.0-9.9-9.9
5050119671118 21.4 11.9  0.009900  9.1-99.9-99.9-99.9-9.9 99 7.5 40  2.9  14 11.2-9.9-9.9
5050119671119 28.6  7.7  0.009900  4.9-99.9-99.9-99.9-9.9 99 9.6 41  6.4  23 18.4-9.9-9.9
5050119671120 26.2 13.7  0.009900 10.1-99.9-99.9-99.9-9.9 99 9.7 33  6.5  15 12.0-9.9-9.9
5050119671121 32.8 14.0  0.009900  9.8-99.9-99.9-99.9-9.9 9914.2 45 12.2  28 22.4-9.9-9.9
5050119671122 24.3 14.0  0.009900 10.1-99.9-99.9-99.9-9.9 99 7.0 38  1.9  22 17.6-9.9-9.9
5050119671123 21.5  8.2  0.009900  5.1-99.9-99.9-99.9-9.9 99 7.3 37  2.5  17 13.6-9.9-9.9
5050119671124 30.5  8.5  0.009900  5.0-99.9-99.9-99.9-9.9 9910.5 37  7.7  15 12.0-9.9-9.9
5050119671125 33.5 13.8  0.009900  9.2-99.9-99.9-99.9-9.9 9911.8 36  9.4  19 15.2-9.9-9.9
5050119671126 30.7 16.0  0.009900 10.4-99.9-99.9-99.9-9.9 9911.3 36  8.8  11  8.8-9.9-9.9
5050119671127 31.5 15.1  0.009900 10.6-99.9-99.9-99.9-9.9 9912.6 34 10.4   7  5.6-9.9-9.9
5050119671128 32.4 16.7  0.009900 12.3-99.9-99.9-99.9-9.9 9910.1 28  7.1  15 12.0-9.9-9.9
5050119671129 26.1 14.3  0.009900 10.0-99.9-99.9-99.9-9.9 9911.3 50  8.8  25 20.0-9.9-9.9
