5015819780501-99.9-99.9  7.219900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780712 12.5  6.9  6.019900-99.9-99.9-99.9-99.9-9.9 9910.5 92  7.7   8  6.4-9.9-9.9
5015819780713 11.0  4.7  3.419900-99.9-99.9-99.9-99.9-9.9 99 9.6 94  6.4   0  0.0-9.9-9.9
5015819780714  8.2  3.2  6.419900-99.9-99.9-99.9-99.9-9.9 99 9.2 96  5.8   0  0.0-9.9-9.9
5015819780715  6.6  1.5 10.419900-99.9-99.9-99.9-99.9-9.9 99 7.6 94  3.0  19 15.2-9.9-9.9
5015819780716  8.4  2.9  3.419900-99.9-99.9-99.9-99.9-9.9 99 8.1 89  3.9  19 15.2-9.9-9.9
5015819780717  8.0  2.3  8.219900-99.9-99.9-99.9-99.9-9.9 99 8.7 93  5.0  19 15.2-9.9-9.9
5015819780718  8.2  3.0 19.819900-99.9-99.9-99.9-99.9-9.9 99 8.4 94  4.5  13 10.4-9.9-9.9
5015819780719  9.2  3.9  2.019900-99.9-99.9-99.9-99.9-9.9 99 7.9 90  3.6   8  6.4-9.9-9.9
5015819780720  7.2  2.3  7.519900-99.9-99.9-99.9-99.9-9.9 99 7.8 93  3.4   5  4.0-9.9-9.9
5015819780721  9.5 -0.8  6.819900-99.9-99.9-99.9-99.9-9.9 99 7.2 86  2.3   0  0.0-9.9-9.9
5015819780722  6.0  0.9  7.819900-99.9-99.9-99.9-99.9-9.9 99 7.3 97  2.5   0  0.0-9.9-9.9
5015819780723  6.6 -0.9 47.519900-99.9-99.9-99.9-99.9-9.9 99 6.8 87  1.5  19 15.2-9.9-9.9
5015819780724  5.5 -0.1 11.419900-99.9-99.9-99.9-99.9-9.9 99 7.1 88  2.1  34 27.2-9.9-9.9
5015819780725  5.5  0.7  1.819900-99.9-99.9-99.9-99.9-9.9 99 6.3 79  0.4  24 19.2-9.9-9.9
5015819780726 11.3  0.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 81  0.9   8  6.4-9.9-9.9
5015819780727  9.5 -2.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 83 -0.2   0  0.0-9.9-9.9
5015819780728 11.5 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 84  2.7   0  0.0-9.9-9.9
5015819780729 10.2 -1.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 87  1.3   0  0.0-9.9-9.9
5015819780730  8.2 -2.8  6.519900-99.9-99.9-99.9-99.9-9.9 99 5.7 80 -1.0   0  0.0-9.9-9.9
5015819780731  8.2 -2.5 14.519900-99.9-99.9-99.9-99.9-9.9 99 8.8 90  5.1  26 20.8-9.9-9.9
5015819780801-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780802-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780803-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780804-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780805-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780806-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780807-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780808-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
