5026319630831 15.0  7.0  0.009900  5.6-99.9-99.9-99.9-9.9 99 9.9 74  6.8  37 29.6-9.9-9.9
5026319630901 15.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99 7.6 68  3.0  15 12.0-9.9-9.9
5026319630902 10.0  4.0  0.009900  2.5-99.9-99.9-99.9-9.9 9910.9 98  8.2  35 28.0-9.9-9.9
5026319630903 10.0  4.9  0.319900  3.3-99.9-99.9-99.9-9.9 99 8.0 79  3.8  24 19.2-9.9-9.9
5026319630904  8.0  4.9  0.519900  3.8-99.9-99.9-99.9-9.9 99 9.3 99  5.9  29 23.2-9.9-9.9
5026319630905  7.0  3.0  0.219900  1.8-99.9-99.9-99.9-9.9 99 8.5 90  4.6  38 30.4-9.9-9.9
5026319630906  7.0  3.0  3.119900  1.7-99.9-99.9-99.9-9.9 99 8.5 99  4.6  34 27.2-9.9-9.9
5026319630907  8.0  4.0  0.219900  2.9-99.9-99.9-99.9-9.9 99 9.3 99  5.9  16 12.8-9.9-9.9
5026319630908  7.0  5.0  0.519900  3.8-99.9-99.9-99.9-9.9 99 9.2 99  5.8  27 21.6-9.9-9.9
5026319630909  8.0  3.0  0.009900  1.3-99.9-99.9-99.9-9.9 99 6.9 78  1.7   7  5.6-9.9-9.9
5026319630910  8.0 -1.0  0.009900 -2.2-99.9-99.9-99.9-9.9 99 6.5 74  0.9   8  6.4-9.9-9.9
5026319630911  8.0  0.0  0.009900 -1.2-99.9-99.9-99.9-9.9 99 7.3 86  2.5  37 29.6-9.9-9.9
5026319630912 10.0  4.0  1.019900  2.8-99.9-99.9-99.9-9.9 99 8.7 84  5.0  57 45.6-9.9-9.9
5026319630913 16.8  4.0  0.009910  2.8-99.9-99.9-99.9-9.9 99 9.5 70  6.2   9  7.2-9.9-9.9
5026319630914 15.0  5.6  0.009900  5.8-99.9-99.9-99.9-9.9 99 5.4 50 -1.7  31 24.8-9.9-9.9
5026319630915 14.0  2.0  0.009900 -0.1-99.9-99.9-99.9-9.9 99 4.8 44 -3.3  15 12.0-9.9-9.9
5026319630916 12.0  1.0  0.009900 -1.2-99.9-99.9-99.9-9.9 99 7.2 74  2.3  34 27.2-9.9-9.9
5026319630917 10.0  2.0  0.009900  0.1-99.9-99.9-99.9-9.9 99 6.7 70  1.3  16 12.8-9.9-9.9
5026319630918  9.0  3.0  2.119900  1.3-99.9-99.9-99.9-9.9 9910.3 99  7.4  61 48.8-9.9-9.9
5026319630919 19.0  6.0  0.009900  3.6-99.9-99.9-99.9-9.9 99 7.4 59  2.7  30 24.0-9.9-9.9
5026319630920 12.0  5.0  0.009900  2.3-99.9-99.9-99.9-9.9 99 6.3 59  0.4  49 39.2-9.9-9.9
5026319630921 11.0  1.0  0.009900 -1.7-99.9-99.9-99.9-9.9 99 7.0 71  1.9  19 15.2-9.9-9.9
5026319630922  8.0  5.9  1.219900  5.3-99.9-99.9-99.9-9.9 99 9.1 94  5.6  56 44.8-9.9-9.9
5026319630923 10.0  4.9  0.009900  3.8-99.9-99.9-99.9-9.9 99 9.6 93  6.4  82 65.6-9.9-9.9
5026319630924 13.0  4.0  0.009900  1.8-99.9-99.9-99.9-9.9 99 7.1 70  2.1  36 28.8-9.9-9.9
5026319630925 14.0  0.0  0.009900 -1.2-99.9-99.9-99.9-9.9 99 7.1 70  2.1  11  8.8-9.9-9.9
5026319630926 10.0  2.0  0.009900 -0.2-99.9-99.9-99.9-9.9 99 7.5 72  2.9  35 28.0-9.9-9.9
5026319630927 10.0  2.0  0.009900  0.8-99.9-99.9-99.9-9.9 99 8.4 85  4.5  11  8.8-9.9-9.9
5026319630928  9.0  3.0  0.009900  0.8-99.9-99.9-99.9-9.9 99 8.4 86  4.5  14 11.2-9.9-9.9
5026319630929 12.9  2.0  0.009900 -0.1-99.9-99.9-99.9-9.9 99 9.2 75  5.8   6  4.8-9.9-9.9
5026319630930 10.0  3.9  0.009900  0.8-99.9-99.9-99.9-9.9 99 7.7 82  3.2  11  8.8-9.9-9.9
5026319631001 17.0  3.0  0.009900  0.8-99.9-99.9-99.9-9.9 99 7.6 58  3.0  19 15.2-9.9-9.9
5026319631002 16.0  3.0  0.009900  1.8-99.9-99.9-99.9-9.9 99 8.5 72  4.6   9  7.2-9.9-9.9
5026319631003 15.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 9910.2 71  7.3   8  6.4-9.9-9.9
5026319631004 16.0  5.0  0.009900  3.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631005 16.0  5.0  0.009900  3.3-99.9-99.9-99.9-9.9 99 9.1 62  5.6  21 16.8-9.9-9.9
5026319631006 13.0  3.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 80  6.8  38 30.4-9.9-9.9
5026319631007 19.0  7.9  3.719900  5.4-99.9-99.9-99.9-9.9 9911.2 86  8.6   9  7.2-9.9-9.9
5026319631008 13.9  4.0  2.019900  2.5-99.9-99.9-99.9-9.9 99 8.9 79  5.3  34 27.2-9.9-9.9
5026319631009 10.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99 7.6 77  3.0  27 21.6-9.9-9.9
5026319631010 12.1  3.0  2.719900  1.8-99.9-99.9-99.9-9.9 9911.0 90  8.4  45 36.0-9.9-9.9
5026319631011 11.0  6.9  0.009900  5.1-99.9-99.9-99.9-9.9 99 9.7 87  6.5   9  7.2-9.9-9.9
5026319631012 11.0  4.0  0.009900  2.3-99.9-99.9-99.9-9.9 9910.3 86  7.4  41 32.8-9.9-9.9
5026319631013 13.0  9.4  0.009900  2.8-99.9-99.9-99.9-9.9 9910.9 88  8.2  48 38.4-9.9-9.9
5026319631014 13.0  9.0  0.009900  6.8-99.9-99.9-99.9-9.9 9911.1 90  8.5  35 28.0-9.9-9.9
5026319631015 15.0  2.0  0.009900  1.3-99.9-99.9-99.9-9.9 99 9.4 81  6.1  12  9.6-9.9-9.9
5026319631016 12.0  3.0  0.009900  1.8-99.9-99.9-99.9-9.9 9910.3 93  7.4  30 24.0-9.9-9.9
5026319631017 17.0  8.9  1.019900  7.3-99.9-99.9-99.9-9.9 99 9.0 67  5.4  20 16.0-9.9-9.9
5026319631018 11.0  7.9  0.009900  6.8-99.9-99.9-99.9-9.9 9910.4 92  7.5  37 29.6-9.9-9.9
5026319631019 25.0  7.0  0.009900  4.8-99.9-99.9-99.9-9.9 9910.3 62  7.4  16 12.8-9.9-9.9
5026319631020 16.0  5.0  0.009900  3.3-99.9-99.9-99.9-9.9 99 8.8 62  5.1   8  6.4-9.9-9.9
5026319631021 13.0  2.9  0.009900  3.3-99.9-99.9-99.9-9.9 99 8.0 83  3.8  26 20.8-9.9-9.9
5026319631022 20.0 -1.0  0.009900 -2.2-99.9-99.9-99.9-9.9 99 6.7 51  1.3  22 17.6-9.9-9.9
5026319631023 16.0  2.2  0.009900  0.8-99.9-99.9-99.9-9.9 99 8.1 72  3.9   8  6.4-9.9-9.9
5026319631024 14.0  7.0  0.009900  5.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631025 14.0  7.9  0.009900  5.8-99.9-99.9-99.9-9.9 99 9.9 78  6.8  46 36.8-9.9-9.9
5026319631026 12.0  7.9  0.009900  8.3-99.9-99.9-99.9-9.9 9910.5 90  7.7  38 30.4-9.9-9.9
5026319631027 16.0  6.0  0.009900  3.3-99.9-99.9-99.9-9.9 9910.2 79  7.3  19 15.2-9.9-9.9
5026319631028 11.0  8.9  4.019900  7.7-99.9-99.9-99.9-9.9 9911.2 95  8.6  20 16.0-9.9-9.9
5026319631029 18.0  9.9  0.009900  8.8-99.9-99.9-99.9-9.9 9912.5 87 10.3   8  6.4-9.9-9.9
5026319631030 11.9  9.0  4.019900  7.8-99.9-99.9-99.9-9.9 9911.7 98  9.3  31 24.8-9.9-9.9
5026319631031 10.0  7.0  0.009900  6.6-99.9-99.9-99.9-9.9 99 7.9 81  3.6  28 22.4-9.9-9.9
5026319631101-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631102-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631103-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631104-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631105-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631106-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631110-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631111-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631112-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631113-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631114-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631115-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631116-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631117-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631118-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631119-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631120-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631121-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631122-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631123-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631124-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631125-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631126-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631127-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631128-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631129-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631130-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631201-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631202-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631203-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631204-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631205-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631206-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631207-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631208-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631209-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631210-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631211-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631212-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631213-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631214-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631215-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631216-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631217-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631218-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631220-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631221-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631222-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631223-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631224-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631225-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631226-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631227-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631228-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631229-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631230-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319631231-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640101 20.0 15.0  0.009900 12.8-99.9-99.9-99.9-9.9 99 9.2 53  5.8  31 24.8-9.9-9.9
5026319640102 23.0 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 41  4.3  18 14.4-9.9-9.9
5026319640103 22.9 13.0  0.009900 10.8-99.9-99.9-99.9-9.9 99 9.8 54  6.7  19 15.2-9.9-9.9
5026319640104 28.0 13.0  0.009900 12.6-99.9-99.9-99.9-9.9 9911.7 52  9.3  43 34.4-9.9-9.9
5026319640105 20.0 10.0  0.009900  8.3-99.9-99.9-99.9-9.9 9911.0 59  8.4  20 16.0-9.9-9.9
5026319640106 19.4-99.9  0.009900 12.8-99.9-99.9-99.9-9.9 9911.2 63  8.6   0  0.0-9.9-9.9
5026319640107 18.0 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 78 11.9  26 20.8-9.9-9.9
5026319640108 27.0 12.0  0.009900  9.8-99.9-99.9-99.9-9.9 9914.3 65 12.3  11  8.8-9.9-9.9
5026319640109 23.0 14.0  2.319900 13.3-99.9-99.9-99.9-9.9 9917.8 96 15.7  17 13.6-9.9-9.9
5026319640110 21.0 14.0  0.919900 12.8-99.9-99.9-99.9-9.9 9916.6 84 14.6  44 35.2-9.9-9.9
5026319640111 23.0 13.0  0.009900 10.8-99.9-99.9-99.9-9.9 9911.9 60  9.5  31 24.8-9.9-9.9
5026319640112 18.0  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.8 76  9.4   1  0.8-9.9-9.9
5026319640113 28.0 15.0  0.009900 12.8-99.9-99.9-99.9-9.9 9913.1 65 11.0  11  8.8-9.9-9.9
5026319640114 23.0 14.9  0.009900 12.8-99.9-99.9-99.9-9.9 9910.4 54  7.5  44 35.2-9.9-9.9
5026319640115 19.0  7.0  0.009900  4.8-99.9-99.9-99.9-9.9 9913.5 77 11.4  23 18.4-9.9-9.9
5026319640116 19.0 14.0  0.009900 12.8-99.9-99.9-99.9-9.9 9913.8 78 11.8  48 38.4-9.9-9.9
5026319640117 21.0 13.0  0.009900 11.8-99.9-99.9-99.9-9.9 9916.1 82 14.1  53 42.4-9.9-9.9
5026319640118 23.0 15.9  0.009900 12.8-99.9-99.9-99.9-9.9 9915.2 72 13.2  41 32.8-9.9-9.9
5026319640119 20.0 13.0  0.009900 11.3-99.9-99.9-99.9-9.9 9913.8 71 11.8  23 18.4-9.9-9.9
5026319640120 25.0 13.0  0.009900 12.6-99.9-99.9-99.9-9.9 9912.7 62 10.5  31 24.8-9.9-9.9
5026319640121 26.0 15.0  0.009900 13.3-99.9-99.9-99.9-9.9 9912.9 62 10.7  14 11.2-9.9-9.9
5026319640122 26.0 15.0  0.009900 13.2-99.9-99.9-99.9-9.9 9912.8 54 10.6  33 26.4-9.9-9.9
5026319640123 20.0 13.4  0.009900 11.8-99.9-99.9-99.9-9.9 9912.3 75 10.0  23 18.4-9.9-9.9
5026319640124 22.0 13.0  3.019900 11.7-99.9-99.9-99.9-9.9 9913.3 72 11.2   2  1.6-9.9-9.9
5026319640125 21.0 13.0  0.009900 12.6-99.9-99.9-99.9-9.9 9910.9 61  8.2  16 12.8-9.9-9.9
5026319640126 19.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 9910.8 59  8.1  38 30.4-9.9-9.9
5026319640127 26.0 10.0  0.009900  7.8-99.9-99.9-99.9-9.9 9913.1 54 11.0  23 18.4-9.9-9.9
5026319640128 26.0 12.0  0.009900 10.8-99.9-99.9-99.9-9.9 9910.4 50  7.5  23 18.4-9.9-9.9
5026319640129 18.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 9911.8 72  9.4  16 12.8-9.9-9.9
5026319640130 27.0-99.9  0.009900 11.8-99.9-99.9-99.9-9.9 9914.3 67 12.3  33 26.4-9.9-9.9
5026319640131 26.0 14.0  0.009900 12.8-99.9-99.9-99.9-9.9 9913.0 62 10.9  49 39.2-9.9-9.9
5026319640201 18.0 10.0  5.019900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640202 25.0  8.0  0.009900  5.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640203 34.6 13.0  1.819900 11.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640204 23.0 14.0  0.009900 12.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640205 25.3 15.0  0.009900 13.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640206 26.0 10.0  0.009900  8.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640207 23.0 10.0  0.819900  8.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640208 23.0 13.0  1.019900 11.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640209 24.0 12.0  0.009900  9.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640210 27.0 10.0  0.009900  8.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640211 28.0 13.9  0.009900 11.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640212 28.2 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640213 23.4 12.0  0.009900 10.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640214 23.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640215 17.0  8.0  1.919900  6.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640216 13.0  4.0  1.519900  3.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640217 17.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640218 19.0 10.0  0.009900  7.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640219 16.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640220 16.0  9.0  0.009900  7.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640221 21.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640222 19.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640223 20.0 10.0  0.009900  8.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640224 20.0 12.0  0.009900 10.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640225 21.0 11.0  0.009900  9.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640226 28.0  8.0  0.009900  6.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640227 25.9  8.0  0.009900  6.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640228 26.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640229 20.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640301 23.0  7.0  0.009900  5.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640302 25.0 10.0  0.009900  8.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640303 18.0  8.0  5.019900  6.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640304 16.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640305 18.0  5.0  0.009900  3.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640306 19.0  7.0  0.009900  5.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640307 20.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640308 24.0 14.4  0.009900 12.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640309 25.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640310 23.0 10.0  0.009900  8.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640311 20.0  8.0  0.009900  7.1-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640312 19.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640313 20.0  8.0  0.009900  6.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640314 19.0  8.0  0.009900  6.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640315 16.0  7.0  0.009900  5.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640316 19.0 10.0  0.009900  7.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640317 18.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640318 17.0 10.0  1.819900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640319 25.0 11.9  0.009900 10.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640320 18.0-99.9  0.009900  3.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640321 16.9  5.0  0.009900  4.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640322 23.0 10.0  0.009900  8.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640323 23.0  9.0  0.009900  7.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640324 27.0 11.0  0.009900  9.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640325 20.0 11.0  0.009900  9.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640326 23.0 11.0  2.019900  9.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640327 12.3  4.0 11.219900  3.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640328 11.0  0.0  0.009910 -1.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640329 16.0  2.0  1.019900 -0.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319640330 13.0  6.8  4.019900 -5.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
