5004419730912 25.8 14.5  0.009900 13.6-99.9-99.9-99.9 3.8 32 8.2 37  4.1  12  9.611.1 4.1
5004419730913 26.3 15.3  0.009900 14.2-99.9-99.9-99.9 3.6 3010.8 43  8.1  32 25.610.9 6.3
5004419730914 22.6  7.7  0.009900  7.1-99.9-99.9-99.9 3.4 29 9.7 48  6.5   9  7.210.6 2.7
5004419730915 23.5 14.3  0.009900 13.0-99.9-99.9-99.9 6.6 5610.9 49  8.2  42 33.615.4 7.0
5004419730916 19.3 12.0  4.019900 13.5-99.9-99.9-99.9 0.0  0 9.3 54  5.9   0  0.0 5.8 1.7
5004419730917 14.8  8.2  0.009900  7.3-99.9-99.9-99.9 0.0  011.2 84  8.6   1  0.8 5.8 1.2
5004419730918 21.6  7.1  0.009900  6.1-99.9-99.9-99.9 8.8 7411.2 69  8.6   4  3.218.9 2.7
5004419730919 17.9 11.9  0.009900 10.7-99.9-99.9-99.9 0.3  310.3 63  7.4  15 12.0 6.3 2.7
5004419730920 24.6  4.5  0.009900  3.0-99.9-99.9-99.9 7.4 62 8.3 40  4.3  14 11.217.0 3.7
5004419730921 28.1 13.0  0.009900 12.2-99.9-99.9-99.910.0 83 7.3 29  2.5  23 18.421.0 6.6
5004419730922 29.1 16.0  0.009900 15.1-99.9-99.9-99.9 6.2 51 7.0 26  1.9  28 22.415.4 7.7
5004419730923 30.7 16.0  0.009900 15.0-99.9-99.9-99.9 4.5 37 7.1 24  2.1  22 17.612.9 6.7
5004419730924 35.3 15.8  0.009900 14.9-99.9-99.9-99.910.6 87 8.0 24  3.8  17 13.622.2 6.6
5004419730925 27.6 15.3  0.009900 14.2-99.9-99.9-99.9 6.0 49 7.6 34  3.0  16 12.815.3 5.4
5004419730926 25.3  8.0  0.009900  7.2-99.9-99.9-99.9 7.1 58 8.2 39  4.1   5  4.017.1 3.2
5004419730927 21.9 14.5  0.009900 13.6-99.9-99.9-99.9 0.0  0 9.9 50  6.8  19 15.2 6.2 4.1
5004419730928 22.5 13.7  0.009900 12.5-99.9-99.9-99.9 0.4  3 8.0 41  3.8  14 11.2 6.8 3.9
5004419730929 23.7 10.3  0.009900  9.3-99.9-99.9-99.9 7.6 62 9.5 47  6.2  17 13.618.1 4.6
5004419730930 26.5 11.7  0.009900 10.5-99.9-99.9-99.910.7 87 9.9 48  6.8  12  9.623.0 4.8
5004419731001 25.6 13.5  0.009900 12.9-99.9-99.9-99.911.0 8910.5 44  7.7  40 32.023.6 8.1
5004419731002 29.3 17.6  0.009900 16.9-99.9-99.9-99.9 6.4 5212.4 40 10.1  51 40.816.410.1
5004419731003 32.3 20.5  0.009900 19.7-99.9-99.9-99.9 1.0  817.3 49 15.2  30 24.0 8.0 6.3
5004419731004 31.1 18.6  0.009900 17.8-99.9-99.9-99.9 4.0 3217.2 51 15.1  12  9.612.8 4.3
5004419731005 32.0 20.4  1.119900 19.7-99.9-99.9-99.9 5.0 4019.9 63 17.4  13 10.414.4 4.6
5004419731006 25.0 17.3  0.009900 16.6-99.9-99.9-99.9 5.0 4014.9 63 12.9  17 13.614.5 4.4
5004419731007 28.3 19.7  0.009900 18.9-99.9-99.9-99.910.6 8514.9 51 12.9  41 32.823.5 9.0
5004419731008 30.3 12.5  0.009900 11.8-99.9-99.9-99.9 6.9 5514.7 50 12.7  43 34.417.6 7.4
5004419731009 35.1 19.6  0.009900 18.8-99.9-99.9-99.910.5 8413.2 35 11.1   6  4.823.5 5.3
5004419731010 28.3 11.0  0.009900 10.1-99.9-99.9-99.9 7.5 60 5.8 23 -0.7  11  8.818.7 5.0
5004419731011 31.1 16.0  0.009900 15.2-99.9-99.9-99.910.0 79 9.4 31  6.1  26 20.822.9 8.0
5004419731012 24.6 15.4  0.009900 14.7-99.9-99.9-99.9 0.0  0 8.2 48  4.1  13 10.4 6.7 4.2
5004419731013 27.6 15.8  0.009900 15.1-99.9-99.9-99.910.6 84 9.1 33  5.6  47 37.624.010.8
5004419731014 30.9 16.9  0.009900 15.8-99.9-99.9-99.9 9.5 7510.6 33  7.8  36 28.822.3 9.4
5004419731015 32.1 18.0  0.009900 17.2-99.9-99.9-99.9 9.4 7411.4 33  8.9  27 21.622.2 8.3
5004419731016 33.1 20.0  0.009900 19.3-99.9-99.9-99.910.3 8112.1 33  9.8  21 16.823.7 7.8
5004419731017 34.0 18.0  0.009900 17.4-99.9-99.9-99.910.9 8514.3 38 12.3   9  7.224.8 5.9
5004419731018 34.7 15.6  0.009900 15.0-99.9-99.9-99.9 6.0 4714.5 37 12.5  29 23.216.8 7.5
5004419731019 34.5 21.9  0.009900 21.0-99.9-99.9-99.9 8.8 6916.6 42 14.6  51 40.821.512.0
5004419731020 36.4 22.6  0.009900 21.9-99.9-99.9-99.910.0 7815.3 34 13.3  41 32.823.511.6
5004419731021 39.7 22.1  0.009900 21.4-99.9-99.9-99.9 6.8 5312.6 29 10.4   9  7.218.3 6.0
5004419731022 33.5 17.2  0.009900 18.1-99.9-99.9-99.9 0.4  312.4 59 10.1  35 28.0 7.7 8.0
5004419731023 24.1  9.6  0.009900  9.0-99.9-99.9-99.9 9.7 75 6.6 31  1.1  28 22.423.2 7.2
5004419731024 26.2 12.7  0.009900 11.8-99.9-99.9-99.9 6.3 49 8.0 31  3.8  53 42.417.610.7
5004419731025 27.8  9.7  0.009900  8.8-99.9-99.9-99.9 4.8 37 9.2 34  5.8  12  9.615.2 4.5
5004419731026 30.7 16.4  0.009900 15.6-99.9-99.9-99.9 8.6 6610.1 31  7.1  48 38.421.611.4
5004419731027 32.8 20.3  0.009900 19.6-99.9-99.9-99.9 7.7 5910.2 28  7.3  43 34.420.111.7
