5032519560404 26.1-99.9  0.009999-99.9-99.9-99.9-99.9 8.7 75-9.9-99-99.9 -99-99.916.4-9.9
5032519560405 26.0-99.9  0.219999-99.9-99.9-99.9-99.9 5.9 51-9.9-99-99.9 -99-99.912.6-9.9
5032519560406 16.5-99.9  0.009999-99.9-99.9-99.9-99.9 4.8 41-9.9-99-99.9 -99-99.911.0-9.9
5032519560407 24.3-99.9  0.009999-99.9-99.9-99.9-99.9 8.2 71-9.9-99-99.9 -99-99.915.3-9.9
5032519560408 23.0-99.9  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.8-9.9
5032519560409 19.0-99.9  0.009999-99.9-99.9-99.9-99.9 7.8 68-9.9-99-99.9 -99-99.914.6-9.9
5032519560410 15.2-99.9  0.009999-99.9-99.9-99.9-99.910.4 91-9.9-99-99.9 -99-99.917.8-9.9
5032519560411 20.0-99.9  0.009999-99.9-99.9-99.9-99.910.2 90-9.9-99-99.9 -99-99.917.5-9.9
5032519560412 22.8-99.9  0.009999-99.9-99.9-99.9-99.910.2 90-9.9-99-99.9 -99-99.917.3-9.9
5032519560413-99.9-99.9  0.009999-99.9-99.9-99.9-99.9 4.5 40-9.9-99-99.9 -99-99.910.2-9.9
5032519560414 23.5-99.9  0.009999-99.9-99.9-99.9-99.9 8.5 76-9.9-99-99.9 -99-99.915.1-9.9
5032519560415 24.4-99.9  0.009999-99.9-99.9-99.9-99.910.0 89-9.9-99-99.9 -99-99.916.7-9.9
5032519560416 24.2-99.9  0.009999-99.9-99.9-99.9-99.9 9.6 86-9.9-99-99.9 -99-99.916.1-9.9
5032519560417 23.2-99.9  0.009999-99.9-99.9-99.9-99.9 6.4 57-9.9-99-99.9 -99-99.912.1-9.9
5032519560418 21.1-99.9  0.319999-99.9-99.9-99.9-99.9 5.5 49-9.9-99-99.9 -99-99.910.9-9.9
5032519560419 16.4-99.9  7.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5032519560420 43.3-99.9  8.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5032519560421 12.6-99.9  0.219999-99.9-99.9-99.9-99.9 2.3 21-9.9-99-99.9 -99-99.9 7.0-9.9
5032519560422 15.7-99.9  0.009999-99.9-99.9-99.9-99.9 9.4 86-9.9-99-99.9 -99-99.915.2-9.9
5032519560423 22.4-99.9  0.009999-99.9-99.9-99.9-99.9 9.7 89-9.9-99-99.9 -99-99.915.5-9.9
5032519560424 16.6-99.9  0.009999-99.9-99.9-99.9-99.9 9.8 90-9.9-99-99.9 -99-99.915.5-9.9
5032519560425 19.0-99.9  0.009999-99.9-99.9-99.9-99.9 4.4 40-9.9-99-99.9 -99-99.9 9.1-9.9
5032519560426 16.1-99.9  1.819999-99.9-99.9-99.9-99.9 4.6 42-9.9-99-99.9 -99-99.9 9.2-9.9
5032519560427 15.0-99.9  0.009999-99.9-99.9-99.9-99.9 1.7 15-9.9-99-99.9 -99-99.9 5.8-9.9
5032519560428 20.3-99.9  0.009999-99.9-99.9-99.9-99.9 2.4 22-9.9-99-99.9 -99-99.9 6.6-9.9
5032519560429 29.5-99.9  0.009999-99.9-99.9-99.9-99.9 7.8 72-9.9-99-99.9 -99-99.912.6-9.9
5032519560430 17.0-99.9  0.009999-99.9-99.9-99.9-99.9 1.9 17-9.9-99-99.9 -99-99.9 5.9-9.9
5032519560501 15.7-99.9  0.009999-99.9-99.9-99.9-99.9 3.6 33-9.9-99-99.9 -99-99.9 7.7-9.9
5032519560502 21.2-99.9  0.009999-99.9-99.9-99.9-99.9 7.7 72-9.9-99-99.9 -99-99.912.2-9.9
5032519560503 15.2-99.9  0.009999-99.9-99.9-99.9-99.9 8.3 78-9.9-99-99.9 -99-99.912.8-9.9
5032519560504 18.5-99.9  0.009999-99.9-99.9-99.9-99.9 9.0 85-9.9-99-99.9 -99-99.913.5-9.9
5032519560505 22.5-99.9  0.009999-99.9-99.9-99.9-99.9 3.0 28-9.9-99-99.9 -99-99.9 6.9-9.9
5032519560506 10.5-99.9  0.009999-99.9-99.9-99.9-99.9 0.4  3-9.9-99-99.9 -99-99.9 4.0-9.9
5032519560507 11.6-99.9  0.009999-99.9-99.9-99.9-99.9 9.4 89-9.9-99-99.9 -99-99.913.6-9.9
5032519560508 11.3-99.9  0.009999-99.9-99.9-99.9-99.9 0.6  5-9.9-99-99.9 -99-99.9 4.2-9.9
