5285020120311 20.1  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 84 11.0 -99-99.9-9.9-9.9
5285020120312 20.5 10.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 74  8.2 -99-99.9-9.9-9.9
5285020120313 23.0  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 73  7.8 -99-99.9-9.9-9.9
5285020120314 26.4  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 73  8.8 -99-99.9-9.9-9.9
5285020120315 28.3  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 68  9.6 -99-99.9-9.9-9.9
5285020120316 29.1  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 63 10.0 -99-99.9-9.9-9.9
5285020120317 20.7  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 87 12.4 -99-99.9-9.9-9.9
5285020120318 17.9 13.0  1.519999-99.9-99.9-99.9-99.9-9.9 9916.1 98 14.1 -99-99.9-9.9-9.9
5285020120319 24.0 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 73 10.3 -99-99.9-9.9-9.9
5285020120320 26.6  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 68  8.5 -99-99.9-9.9-9.9
5285020120321 21.9  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 65  6.2 -99-99.9-9.9-9.9
5285020120322 21.6  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 76  7.1 -99-99.9-9.9-9.9
5285020120323 21.7  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 74  7.1 -99-99.9-9.9-9.9
5285020120324 21.5  4.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 66  5.9 -99-99.9-9.9-9.9
5285020120325 20.0  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 76  5.2 -99-99.9-9.9-9.9
5285020120326 21.9  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 63  2.6 -99-99.9-9.9-9.9
5285020120327 24.0  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 63  2.7 -99-99.9-9.9-9.9
5285020120328 23.6  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 64  6.6 -99-99.9-9.9-9.9
5285020120329 23.5  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 71  5.7 -99-99.9-9.9-9.9
5285020120330 26.7  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 71  8.4 -99-99.9-9.9-9.9
5285020120331 24.5  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 71  9.5 -99-99.9-9.9-9.9
5285020120401 21.7  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 69  5.4 -99-99.9-9.9-9.9
5285020120402 21.5  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 70  3.7 -99-99.9-9.9-9.9
5285020120403 15.2  3.1  0.619999-99.9-99.9-99.9-99.9-9.9 99 9.3 80  5.7 -99-99.9-9.9-9.9
5285020120404 14.1  5.3  0.919999-99.9-99.9-99.9-99.9-9.9 99 8.5 84  4.5 -99-99.9-9.9-9.9
