5292320061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130829 17.2-11.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -2.8   6  4.5-9.9-9.9
5292320131124 24.6  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 38 -0.1   7  5.2-9.9-9.9
5292320131125 25.7  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 37  1.1  12  9.3-9.9-9.9
5292320131126 25.4  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 36  0.2  11  8.7-9.9-9.9
5292320131127 27.5  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 28 -3.2  10  7.7-9.9-9.9
5292320131128 27.0  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 28 -2.4  11  8.7-9.9-9.9
5292320131129 29.2  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 25 -4.6   9  7.4-9.9-9.9
5292320131130 27.3  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 35  2.7  12  9.7-9.9-9.9
5292320131201 28.5  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 30 -1.4   8  6.3-9.9-9.9
5292320131202 27.2  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 32  1.4   8  6.7-9.9-9.9
5292320131203 25.9  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 33 -0.1  11  8.7-9.9-9.9
5292320131204 26.1  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 41  2.8   8  6.5-9.9-9.9
5292320131205 28.3  1.8  2.219999-99.9-99.9-99.9-99.9-9.9 99 7.7 40  2.7   9  7.5-9.9-9.9
5292320131206 26.4  4.9 27.519999-99.9-99.9-99.9-99.9-9.9 99 9.3 63  5.6   7  5.8-9.9-9.9
5292320131207 23.5  6.0  2.819999-99.9-99.9-99.9-99.9-9.9 9910.0 63  6.9   8  6.2-9.9-9.9
5292320131208 20.2  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 56  5.8   8  6.3-9.9-9.9
5292320131209 25.5  3.4 20.019999-99.9-99.9-99.9-99.9-9.9 99 8.7 42  4.7   9  7.3-9.9-9.9
5292320131210 17.9  6.5  1.219999-99.9-99.9-99.9-99.9-9.9 9910.5 82  7.6   8  6.4-9.9-9.9
5292320131211 21.0  4.1  3.819999-99.9-99.9-99.9-99.9-9.9 99 9.2 58  5.7   8  6.2-9.9-9.9
