5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020131209 30.5 19.3  6.219999-99.9-99.9-99.9-99.9-9.9 9925.1 89 21.1 -99-99.9-9.9-9.9
5291020131210 27.4 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9922.7 87 19.5 -99-99.9-9.9-9.9
5291020131211 28.4 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 71 17.4 -99-99.9-9.9-9.9
5291020131212 30.5 16.9  0.219999-99.9-99.9-99.9-99.9-9.9 9922.3 71 19.2 -99-99.9-9.9-9.9
5291020131213 30.8 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9924.3 78 20.6 -99-99.9-9.9-9.9
5291020131214 30.9 19.7  0.219999-99.9-99.9-99.9-99.9-9.9 9922.8 65 19.6 -99-99.9-9.9-9.9
5291020131215 31.7 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9922.8 73 19.5 -99-99.9-9.9-9.9
5291020131216 32.2 20.7  0.219999-99.9-99.9-99.9-99.9-9.9 9919.8 53 17.0 -99-99.9-9.9-9.9
5291020131217 33.6 18.5  0.219999-99.9-99.9-99.9-99.9-9.9 9920.6 60 17.8 -99-99.9-9.9-9.9
5291020131218 33.4 21.3  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 57 18.7 -99-99.9-9.9-9.9
5291020131219 32.9 18.5  6.019999-99.9-99.9-99.9-99.9-9.9 9920.8 58 17.9 -99-99.9-9.9-9.9
5291020131220 32.9 18.3  0.219999-99.9-99.9-99.9-99.9-9.9 9922.3 63 19.2 -99-99.9-9.9-9.9
5291020131221 32.5 19.8  0.219999-99.9-99.9-99.9-99.9-9.9 9922.4 73 19.3 -99-99.9-9.9-9.9
5291020131222 31.6 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.0 49 15.7 -99-99.9-9.9-9.9
5291020131223 31.9 19.2  0.219999-99.9-99.9-99.9-99.9-9.9 9918.9 54 16.5 -99-99.9-9.9-9.9
5291020131224 34.3 20.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 51 17.6 -99-99.9-9.9-9.9
5291020131225 35.4 23.7  0.219999-99.9-99.9-99.9-99.9-9.9 9921.2 50 18.3 -99-99.9-9.9-9.9
5291020131226 34.6 22.2  6.819999-99.9-99.9-99.9-99.9-9.9 9926.6 72 22.1 -99-99.9-9.9-9.9
5291020131227 34.3 21.1  3.819999-99.9-99.9-99.9-99.9-9.9 9926.8 76 22.2 -99-99.9-9.9-9.9
5291020131228 34.7 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 9926.1 73 21.8 -99-99.9-9.9-9.9
5291020131229 32.4 19.8  0.009999-99.9-99.9-99.9-99.9-9.9 9926.2 73 21.8 -99-99.9-9.9-9.9
5291020131230 32.7 22.5  0.009999-99.9-99.9-99.9-99.9-9.9 9927.0 78 22.3 -99-99.9-9.9-9.9
5291020131231 30.1 22.5  0.009999-99.9-99.9-99.9-99.9-9.9 9929.0 90 23.5 -99-99.9-9.9-9.9
5291020140101 29.4 23.0 12.819999-99.9-99.9-99.9-99.9-9.9 9929.2 90 23.7 -99-99.9-9.9-9.9
5291020140102 30.6 21.5 11.819999-99.9-99.9-99.9-99.9-9.9 9929.5 92 23.8 -99-99.9-9.9-9.9
5291020140103 25.0 19.5  0.219999-99.9-99.9-99.9-99.9-9.9 9925.0 99 21.0 -99-99.9-9.9-9.9
5291020140104 27.9 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9921.7 82 18.8 -99-99.9-9.9-9.9
5291020140105 31.5 18.1  0.519999-99.9-99.9-99.9-99.9-9.9 9925.7 88 21.4 -99-99.9-9.9-9.9
5291020140106 33.9 18.9 14.819999-99.9-99.9-99.9-99.9-9.9 9924.1 72 20.5 -99-99.9-9.9-9.9
5291020140107 31.5 19.0  0.219999-99.9-99.9-99.9-99.9-9.9 9924.4 71 20.7 -99-99.9-9.9-9.9
5291020140108 29.9 19.1  0.219999-99.9-99.9-99.9-99.9-9.9 9926.0 86 21.7 -99-99.9-9.9-9.9
5291020140109 31.8 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9925.6 73 21.5 -99-99.9-9.9-9.9
