5272120101213-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272120110420 17.5 14.4 30.619999-99.9-99.9-99.9-99.9-9.9 9917.7100 15.5 -99-99.9-9.9-9.9
5272120110421 19.6 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 97 16.5 -99-99.9-9.9-9.9
5272120110422 28.8 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.9 92 19.4 -99-99.9-9.9-9.9
5272120110423 23.6  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 59  8.2 -99-99.9-9.9-9.9
5272120110424 23.4  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 73  6.8 -99-99.9-9.9-9.9
5272120110425 28.3  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 72  9.4 -99-99.9-9.9-9.9
5272120110426 27.2  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.0 74 10.7 -99-99.9-9.9-9.9
5272120110427 28.7  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 75 12.3 -99-99.9-9.9-9.9
5272120110428 28.6  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.5 82 13.3 -99-99.9-9.9-9.9
5272120110429 27.1 10.7 11.819999-99.9-99.9-99.9-99.9-9.9 9919.3 83 16.9 -99-99.9-9.9-9.9
5272120110430 21.7 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 95 14.9 -99-99.9-9.9-9.9
5272120110501 14.8 11.3  2.719999-99.9-99.9-99.9-99.9-9.9 9913.9 93 11.7 -99-99.9-9.9-9.9
5272120110502 19.0  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 80  7.4 -99-99.9-9.9-9.9
5272120110503 20.3  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 80  7.0 -99-99.9-9.9-9.9
5272120110504 21.7  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 78  8.8 -99-99.9-9.9-9.9
5272120110505 25.8  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0 74 11.9 -99-99.9-9.9-9.9
5272120110506 24.1  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 78  8.1 -99-99.9-9.9-9.9
5272120110507 24.5  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 78  8.9 -99-99.9-9.9-9.9
5272120110508 22.3  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 75 11.4 -99-99.9-9.9-9.9
5272120110509 21.4  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 82 10.5 -99-99.9-9.9-9.9
5272120110510 23.2  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 94 15.1 -99-99.9-9.9-9.9
5272120110511 24.5 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.1 93 18.3 -99-99.9-9.9-9.9
5272120110512 26.1 11.6  0.009999-99.9-99.9-99.9-99.9-9.9 9916.8 72 14.7 -99-99.9-9.9-9.9
5272120110513 21.8  7.9 13.719999-99.9-99.9-99.9-99.9-9.9 9915.7 87 13.6 -99-99.9-9.9-9.9
5272120110514 20.1 14.4  0.319999-99.9-99.9-99.9-99.9-9.9 9916.6 90 14.6 -99-99.9-9.9-9.9
5272120110515 21.7  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 83 10.1 -99-99.9-9.9-9.9
5272120110516 20.9  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 84  8.6 -99-99.9-9.9-9.9
