5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120130930 24.0 14.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 83 16.1 -99-99.9-9.9-9.9
5291120131001 26.0 14.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 76 15.2 -99-99.9-9.9-9.9
5291120131002 29.6 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 60 14.5 -99-99.9-9.9-9.9
5291120131003 28.8 15.5  2.519999-99.9-99.9-99.9-99.9-9.9 9922.1 92 18.9 -99-99.9-9.9-9.9
5291120131004 26.4 15.6  0.219999-99.9-99.9-99.9-99.9-9.9 9915.5 66 13.0 -99-99.9-9.9-9.9
5291120131005 26.9  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 66 10.6 -99-99.9-9.9-9.9
5291120131006 27.1  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 59 10.5 -99-99.9-9.9-9.9
5291120131007 31.2 10.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.2 53 12.1 -99-99.9-9.9-9.9
5291120131008 30.0 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 44 10.2 -99-99.9-9.9-9.9
5291120131009 31.7 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9 52 13.8 -99-99.9-9.9-9.9
5291120131010 26.4 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.5 72 16.2 -99-99.9-9.9-9.9
5291120131011 24.7 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 81 17.7 -99-99.9-9.9-9.9
5291120131012 23.6 18.4  0.009999-99.9-99.9-99.9-99.9-9.9 9921.8 95 18.9 -99-99.9-9.9-9.9
5291120131013 28.7 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9923.1 84 19.8 -99-99.9-9.9-9.9
5291120131014 29.8 19.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.6 88 20.8 -99-99.9-9.9-9.9
5291120131015 28.7 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9922.5 85 19.3 -99-99.9-9.9-9.9
5291120131016 30.1 17.9  0.009999-99.9-99.9-99.9-99.9-9.9 9921.0 79 18.3 -99-99.9-9.9-9.9
5291120131017 31.2 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 72 17.1 -99-99.9-9.9-9.9
5291120131018-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120140618-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120140619 20.2  4.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.7 80  6.4 -99-99.9-9.9-9.9
5291120140620 22.4  1.6  0.219999-99.9-99.9-99.9-99.9-9.9 9912.1 87  9.1 -99-99.9-9.9-9.9
5291120140621 24.1  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 86 12.7 -99-99.9-9.9-9.9
5291120140622 25.3 10.2  9.219999-99.9-99.9-99.9-99.9-9.9 9916.9 84 14.7 -99-99.9-9.9-9.9
5291120140623 22.1 16.1 13.019999-99.9-99.9-99.9-99.9-9.9 9919.8 95 17.3 -99-99.9-9.9-9.9
5291120140624 22.0 15.9 71.219999-99.9-99.9-99.9-99.9-9.9 9922.0100 18.9 -99-99.9-9.9-9.9
5291120140625 20.6 18.2 84.219999-99.9-99.9-99.9-99.9-9.9 9922.0100 19.0 -99-99.9-9.9-9.9
5291120140626 19.3 18.5 69.519999-99.9-99.9-99.9-99.9-9.9 9921.8100 18.9 -99-99.9-9.9-9.9
5291120140627 19.8 17.0 26.519999-99.9-99.9-99.9-99.9-9.9 9921.1100 18.3 -99-99.9-9.9-9.9
5291120140628 22.4 15.1  8.519999-99.9-99.9-99.9-99.9-9.9 9919.0100 16.7 -99-99.9-9.9-9.9
5291120140629 15.5 11.8  0.219999-99.9-99.9-99.9-99.9-9.9 9915.2100 13.2 -99-99.9-9.9-9.9
5291120140630 18.8  8.0  0.219999-99.9-99.9-99.9-99.9-9.9 9911.8 83  9.4 -99-99.9-9.9-9.9
5291120140701 20.2  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 80  8.3 -99-99.9-9.9-9.9
5291120140702 24.0 11.4  0.219999-99.9-99.9-99.9-99.9-9.9 9917.6 88 15.4 -99-99.9-9.9-9.9
5291120140703 28.2 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 87 19.2 -99-99.9-9.9-9.9
5291120140704 30.1 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 79 19.1 -99-99.9-9.9-9.9
5291120140705 29.8 16.2 11.819999-99.9-99.9-99.9-99.9-9.9 9919.1 65 16.8 -99-99.9-9.9-9.9
