5289820190312-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820200113 34.3 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 30  6.8 -99-99.9-9.9-9.9
5289820200114-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820200124-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820200125 32.4 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 34  6.0 -99-99.9-9.9-9.9
5289820200126 29.6 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 31  3.1 -99-99.9-9.9-9.9
5289820200127 31.9  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 28  2.9 -99-99.9-9.9-9.9
5289820200128 23.8 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 34  3.4 -99-99.9-9.9-9.9
5289820200129 26.4  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 26 -2.5 -99-99.9-9.9-9.9
5289820200130 31.9  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 29  2.8 -99-99.9-9.9-9.9
5289820200131 32.6 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 36  7.5 -99-99.9-9.9-9.9
5289820200201 28.9 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 40  5.7 -99-99.9-9.9-9.9
5289820200202 29.2  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 26 -0.7 -99-99.9-9.9-9.9
5289820200203 25.9  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 38  2.1 -99-99.9-9.9-9.9
5289820200204 20.1  6.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.9 42  1.7 -99-99.9-9.9-9.9
5289820200205 21.9  1.4 15.019999-99.9-99.9-99.9-99.9-9.9 99 6.6 41  1.1 -99-99.9-9.9-9.9
5289820200206 18.9  8.2  5.519999-99.9-99.9-99.9-99.9-9.9 9910.8 77  8.0 -99-99.9-9.9-9.9
5289820200207 27.0  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 47  5.8 -99-99.9-9.9-9.9
5289820200208 27.0  5.0  3.219999-99.9-99.9-99.9-99.9-9.9 99 9.8 44  6.6 -99-99.9-9.9-9.9
5289820200209 26.1 13.2 11.019999-99.9-99.9-99.9-99.9-9.9 9913.1 63 10.9 -99-99.9-9.9-9.9
5289820200210 29.8 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 63 13.6 -99-99.9-9.9-9.9
5289820200211 33.1 15.6  2.219999-99.9-99.9-99.9-99.9-9.9 9914.2 55 12.2 -99-99.9-9.9-9.9
5289820200212 23.1 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 44  5.4 -99-99.9-9.9-9.9
5289820200213 24.2  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 38  0.9 -99-99.9-9.9-9.9
5289820200214 24.1  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 50  4.9 -99-99.9-9.9-9.9
5289820200215 25.6 10.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 44  5.8 -99-99.9-9.9-9.9
5289820200216 25.4  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 35  2.6 -99-99.9-9.9-9.9
5289820200217 22.1  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 38  1.0 -99-99.9-9.9-9.9
5289820200218 28.9  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 39  4.0 -99-99.9-9.9-9.9
5289820200219 21.2  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 28 -1.2 -99-99.9-9.9-9.9
5289820200220 25.0  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 25 -4.0 -99-99.9-9.9-9.9
5289820200221 26.9  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 29 -2.8 -99-99.9-9.9-9.9
5289820200222 29.7  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 30  1.3 -99-99.9-9.9-9.9
5289820200223 32.1  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 31  2.4 -99-99.9-9.9-9.9
5289820200224 22.1  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 36  1.5 -99-99.9-9.9-9.9
5289820200225 25.7  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 36  2.7 -99-99.9-9.9-9.9
5289820200226 29.7 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 33  4.5 -99-99.9-9.9-9.9
5289820200227 29.9 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 32  5.0 -99-99.9-9.9-9.9
5289820200228 29.5  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 32  3.2 -99-99.9-9.9-9.9
5289820200229 34.2  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 27  1.9 -99-99.9-9.9-9.9
5289820200301 38.9  7.7  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.0 28  4.7 -99-99.9-9.9-9.9
5289820200302 37.5 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 30  6.8 -99-99.9-9.9-9.9
5289820200303 38.6 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 20  1.0 -99-99.9-9.9-9.9
5289820200304 30.5 10.5  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.5 27  0.8 -99-99.9-9.9-9.9
5289820200305 31.6  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 45  6.8 -99-99.9-9.9-9.9
