5273920151015 29.8 19.3  0.009999-99.9-99.9-99.9-99.9 9.9 7820.5 67 17.9  14 11.423.223.7
5273920151016 22.5 16.3  0.009999-99.9-99.9-99.9-99.9 2.6 2014.3 62 12.2  13 10.711.216.4
5273920151017 22.5 15.4  0.009999-99.9-99.9-99.9-99.9 4.8 3712.7 62 10.4  14 11.014.819.4
5273920151018 23.8 12.0  0.009999-99.9-99.9-99.9-99.9 6.6 5213.9 64 11.8   9  7.617.911.6
5273920151019 34.7 15.7  0.009999-99.9-99.9-99.9-99.9 5.7 4423.6 63 19.8   8  6.716.410.2
5273920151020 30.9 22.2  0.009999-99.9-99.9-99.9-99.9 4.9 3824.9 70 20.9  13 10.515.119.0
5273920151021 27.1 17.6  0.009999-99.9-99.9-99.9-99.9 5.8 4519.9 76 17.4  10  7.816.611.1
5273920151022 28.4 17.0  0.009999-99.9-99.9-99.9-99.9 6.7 5220.0 78 17.5  10  8.318.310.7
5273920151023 29.6 16.9  0.009999-99.9-99.9-99.9-99.910.4 8117.7 60 15.5  13 10.324.620.2
5273920151024 30.7 15.7  5.019999-99.9-99.9-99.9-99.9 7.6 5919.0 64 16.6  14 11.219.918.5
5273920151025 22.6 19.1 38.219999-99.9-99.9-99.9-99.9-9.9 9924.1100 20.5   9  6.9 1.3-9.9
5273920151026 22.8 19.7 11.019999-99.9-99.9-99.9-99.9-9.9 9924.6100 20.8   7  5.8 1.2-9.9
5273920151027 31.0 19.7  0.009999-99.9-99.9-99.9-99.9 8.2 6325.0 79 21.1   5  4.121.1 8.3
5273920151028 31.8 19.6  0.009999-99.9-99.9-99.9-99.910.5 8124.9 73 21.0   4  3.425.010.0
5273920151029 34.8 20.4 52.819999-99.9-99.9-99.9-99.910.0 7627.0 66 22.3   7  5.324.212.4
5273920151030 28.5 18.4  3.819999-99.9-99.9-99.9-99.9 0.1  123.6 97 20.0  13 10.1 7.5 8.4
5273920151031 27.3 17.9  0.009999-99.9-99.9-99.9-99.9 7.2 5521.9 80 18.9  11  8.819.5 9.9
5273920151101 22.6 18.5  0.519999-99.9-99.9-99.9-99.9 1.3 1020.5 81 17.9  12  9.8 9.5 8.5
5273920151102 24.2 17.2  0.009999-99.9-99.9-99.9-99.9 3.3 2520.8 82 18.1  10  7.813.0 7.5
5273920151103 22.1 19.5  2.819999-99.9-99.9-99.9-99.9-9.9 9923.5 98 20.1   9  7.3 3.4-9.9
5273920151104 23.6 20.2 11.819999-99.9-99.9-99.9-99.9-9.9 9924.5100 20.8   7  5.9 3.5-9.9
5273920151105 23.0 17.7  0.009999-99.9-99.9-99.9-99.9 2.2 1720.4 87 17.8  12  9.511.2 7.2
5273920151106 25.5 14.9  0.009999-99.9-99.9-99.9-99.911.0 8318.0 75 15.8   8  6.226.411.0
5273920151107 26.8 15.5  0.009999-99.9-99.9-99.9-99.9 8.8 6718.4 67 16.2   4  3.422.7 8.5
5273920151108 30.5 16.4  0.009999-99.9-99.9-99.9-99.910.8 8121.3 69 18.5   3  2.526.0 8.8
5273920151109 34.0 21.2  0.009999-99.9-99.9-99.9-99.9 8.7 6629.3 74 23.6  10  7.722.611.8
5273920151110 31.8 25.5 30.519999-99.9-99.9-99.9-99.9 5.4 4030.1 74 24.1  10  7.916.813.5
5273920151111 29.6 23.1  2.219999-99.9-99.9-99.9-99.9 2.1 1629.3 91 23.7   7  5.611.2 5.4
5273920151112 35.0 23.2 12.019999-99.9-99.9-99.9-99.9 7.8 5832.0 75 25.1   8  6.821.110.9
5273920151113 30.8 21.9  0.009999-99.9-99.9-99.9-99.910.7 8025.4 71 21.1  12  9.626.118.6
5273920151114 27.4 18.0  0.009999-99.9-99.9-99.9-99.910.0 7420.7 73 18.1   8  6.624.911.8
5273920151115 28.2 20.0 10.519999-99.9-99.9-99.9-99.9 5.4 4023.8 76 20.3   8  6.317.0 9.4
5273920151116 28.3 21.1  6.519999-99.9-99.9-99.9-99.9 2.7 2026.2 85 21.9  11  9.012.4 8.1
5273920151117 32.6 22.3  0.009999-99.9-99.9-99.9-99.9 6.7 5028.5 82 23.2   6  4.519.3 8.1
5273920151118 34.0 23.2  0.009999-99.9-99.9-99.9-99.9 8.1 6027.7 75 22.8   6  4.521.910.4
5273920151119 26.4 20.5 38.219999-99.9-99.9-99.9-99.9 1.3  924.6 89 20.7  12  9.9 9.9 8.0
5273920151120 23.9 15.7  0.009999-99.9-99.9-99.9-99.910.0 7416.3 74 14.3  12  9.725.115.0
5273920151121 25.9 14.5  0.009999-99.9-99.9-99.9-99.910.3 7617.9 71 15.7   7  5.325.710.5
5273920151122 30.3 17.3  0.009999-99.9-99.9-99.9-99.911.2 8320.5 63 17.9   5  4.327.411.9
5273920151123 30.1 19.8  0.009999-99.9-99.9-99.9-99.9 7.5 5524.0 72 20.4   8  6.620.912.0
5273920151124 29.4 19.8  0.009999-99.9-99.9-99.9-99.910.5 7723.4 73 20.0  10  7.826.014.4
5273920151125 32.6 20.7  0.009999-99.9-99.9-99.9-99.910.0 7327.8 74 22.8   9  7.025.311.9
5273920151126 31.1 25.1  2.519999-99.9-99.9-99.9-99.9 1.6 1230.9 88 24.6  12  9.710.7 8.8
5273920151127 31.8 23.1 10.019999-99.9-99.9-99.9-99.9 2.1 1530.0 89 24.1   7  5.911.5 6.0
5273920151128 28.1 21.1  0.009999-99.9-99.9-99.9-99.9 8.4 6221.9 73 18.9  12  9.422.616.1
5273920151129 27.9 16.4  0.009999-99.9-99.9-99.9-99.9 9.9 7217.4 63 15.2   9  6.925.115.4
5273920151130 24.4 15.3  0.009999-99.9-99.9-99.9-99.9 0.7  517.3 63 15.2   7  5.7 9.1 8.1
5273920151201 29.2 17.6  0.009999-99.9-99.9-99.9-99.9 2.0 1523.6 79 20.1   6  4.811.4 5.9
5273920151202 27.1 21.6  2.519999-99.9-99.9-99.9-99.9-9.9 9927.9 96 22.9   7  5.5 5.7-9.9
5273920151203 30.7 22.6  0.219999-99.9-99.9-99.9-99.9 2.1 1529.4 87 23.8   5  3.711.5 5.0
5273920151204 33.7 23.2  0.009999-99.9-99.9-99.9-99.9 7.1 5229.5 76 23.8   4  3.620.4 8.6
5273920151205 30.6 21.3  0.009999-99.9-99.9-99.9-99.9 3.2 2325.0 72 21.1   8  6.113.5 9.9
5273920151206 30.4 17.7  0.009999-99.9-99.9-99.9-99.910.2 7421.0 64 18.2   7  5.425.913.4
5273920151207 31.1 15.8  0.009999-99.9-99.9-99.9-99.912.0 8718.5 56 16.2   4  3.229.012.3
5273920151208 33.8 15.6  0.519999-99.9-99.9-99.9-99.911.4 8221.2 58 18.3   6  4.927.914.4
5273920151209 30.3 19.9 35.019999-99.9-99.9-99.9-99.9-9.9 9925.9 93 21.5  10  8.3 1.9-9.9
5273920151210 29.6 17.9  0.009999-99.9-99.9-99.9-99.9 6.7 4823.3 80 19.9   4  3.219.7 7.0
5273920151211 31.5 19.6  0.009999-99.9-99.9-99.9-99.910.6 7725.4 71 21.3   5  3.926.610.3
5273920151212 34.3 23.7 48.819999-99.9-99.9-99.9-99.910.2 7430.6 67 24.4  12  9.725.916.6
5273920151213 31.1 19.9  7.519999-99.9-99.9-99.9-99.9 4.1 3027.0 86 22.3  11  9.115.210.1
5273920151214 29.7 20.6 75.819999-99.9-99.9-99.9-99.9 0.1  128.2 97 23.0  11  9.2 8.2 4.9
5273920151215 29.8 20.8  0.009999-99.9-99.9-99.9-99.9 9.1 6526.0 78 21.7   8  6.623.910.4
5273920151216 31.8 22.8  0.009999-99.9-99.9-99.9-99.9 9.9 7230.0 77 24.0   9  6.925.412.0
5273920151217 35.8 26.5  0.009999-99.9-99.9-99.9-99.910.5 7631.7 66 25.0  14 11.226.422.1
5273920151218 31.2 24.8  2.819999-99.9-99.9-99.9-99.9 3.6 2629.3 83 23.7  14 11.214.316.4
5273920151219 27.7 21.6  0.009999-99.9-99.9-99.9-99.9 2.7 2025.6 84 21.5  13 10.712.810.5
5273920151220 29.2 21.2  0.009999-99.9-99.9-99.9-99.9 2.8 2027.7 82 22.7   7  5.912.8 6.5
5273920151221 33.3 24.5  0.009999-99.9-99.9-99.9-99.9 7.1 5133.1 81 25.7   7  5.420.5 9.6
5273920151222 35.4 27.1 24.519999-99.9-99.9-99.9-99.9 8.0 5832.8 72 25.6  13 10.422.119.4
5273920151223 30.8 21.1100.519999-99.9-99.9-99.9-99.9 5.2 3828.8 86 23.4  17 13.317.213.5
5273920151224 27.9 20.7  0.009999-99.9-99.9-99.9-99.9 2.8 2026.7 89 22.2   8  6.412.9 6.3
5273920151225 29.9 22.9  0.009999-99.9-99.9-99.9-99.9 7.9 5728.6 77 23.3   7  5.621.8 9.7
5273920151226 32.3 24.5  0.009999-99.9-99.9-99.9-99.9 7.2 5230.4 75 24.3   3  2.320.6 7.9
5273920151227 33.5 26.3 10.519999-99.9-99.9-99.9-99.9 4.7 3435.0 86 26.7   5  4.016.2 6.9
5273920151228 32.7 25.2 16.019999-99.9-99.9-99.9-99.9 2.2 1633.3 91 25.9   8  6.111.8 6.2
5273920151229 31.9 24.0  1.519999-99.9-99.9-99.9-99.9 0.7  532.8 94 25.6   6  4.6 9.3 3.9
5273920151230 34.5 25.8  0.009999-99.9-99.9-99.9-99.910.1 7333.3 77 25.8   6  5.025.811.9
5273920151231 31.0 21.9 50.019999-99.9-99.9-99.9-99.9 2.6 1933.9 85 26.1   7  5.812.6 6.4
5273920160101 33.4 25.2  0.009999-99.9-99.9-99.9-99.9 8.6 6232.8 78 25.6   4  3.223.0 9.3
5273920160102 34.9 26.5  0.009999-99.9-99.9-99.9-99.9 9.6 6934.1 71 26.2   4  2.824.810.4
5273920160103 35.2 27.2 63.219999-99.9-99.9-99.9-99.9 6.8 5034.6 72 26.5   6  5.220.011.6
5273920160104 31.4 23.0 15.019999-99.9-99.9-99.9-99.9-9.9 9931.4 97 24.9   5  3.8 7.4-9.9
5273920160105 31.5 25.7  0.009999-99.9-99.9-99.9-99.9 6.7 4832.9 79 25.6   9  6.919.7 9.9
5273920160106 32.0 25.2  0.009999-99.9-99.9-99.9-99.9 9.2 6731.2 77 24.7  11  8.824.114.4
5273920160107 31.0 23.7  0.009999-99.9-99.9-99.9-99.9 7.1 5229.5 78 23.8   9  7.420.511.8
5273920160108 32.5 24.7  0.009999-99.9-99.9-99.9-99.9 8.3 6032.4 80 25.4   8  6.122.510.3
5273920160109 33.2 25.8  0.009999-99.9-99.9-99.9-99.9 5.8 4333.2 79 25.8   8  6.518.210.4
5273920160110 34.1 24.7  0.009999-99.9-99.9-99.9-99.910.3 7533.0 77 25.7   6  5.126.012.3
5273920160111 34.7 26.3  0.009999-99.9-99.9-99.9-99.9 9.8 7135.0 76 26.7   5  4.125.111.3
5273920160112 36.7 26.8  4.019999-99.9-99.9-99.9-99.9 8.6 6334.0 71 26.2   4  3.123.110.8
5273920160113 30.6 24.0  0.009999-99.9-99.9-99.9-99.9 2.2 1631.2 88 24.8   9  7.511.8 7.2
5273920160114 33.1 23.6  0.009999-99.9-99.9-99.9-99.911.0 8130.3 78 24.2   8  6.327.213.5
5273920160115 34.4 24.2  0.009999-99.9-99.9-99.9-99.911.1 8229.9 75 24.0   6  5.027.413.2
5273920160116 34.5 22.2  0.009999-99.9-99.9-99.9-99.911.6 8527.8 65 22.8   4  3.428.312.0
