5283020130413 20.5  4.7  0.009999-99.9  3.6-99.9-99.910.3 91 8.9 66  5.2   3  2.518.2 5.4
5283020130414 26.3  4.6  0.009999-99.9  3.8-99.9-99.9 9.8 8712.2 66  9.6   6  4.717.4 6.7
5283020130415 28.6 14.3  0.009999-99.9 13.9-99.9-99.9 9.6 8515.4 67 13.4   5  3.917.0 7.9
5283020130416 24.1  8.3  0.009999-99.9  7.1-99.9-99.9 9.8 8813.7 82 11.6   3  2.017.2 4.3
5283020130417 26.4  5.3  0.009999-99.9  3.8-99.9-99.9 9.8 8712.0 73  9.5   2  1.517.0 4.0
5283020130418 28.8  5.7  0.009999-99.9  4.6-99.9-99.9 9.4 8513.5 79 11.2   3  2.416.5 4.7
5283020130419 29.8  6.4  0.009999-99.9  5.5-99.9-99.9 9.7 8713.7 79 11.5   2  1.416.7 4.3
5283020130420 29.3  6.7  0.009999-99.9  5.0-99.9-99.9 9.5 8614.4 77 12.2   3  2.216.4 4.8
5283020130421 29.4  8.7  0.009999-99.9  6.8-99.9-99.9 9.3 8415.4 67 13.3   4  3.116.0 6.1
5283020130422 29.1  7.7  0.009999-99.9  6.2-99.9-99.9 9.4 8515.9 72 13.7   3  2.316.0 4.8
5283020130423 29.8  8.9  0.009999-99.9  8.0-99.9-99.9 8.9 8116.4 76 14.2   2  1.715.3 4.3
5283020130424 29.2 10.1  0.009999-99.9  8.9-99.9-99.9 7.4 6816.1 70 14.1   2  1.813.4 4.2
5283020130425 29.3  9.7  0.009999-99.9  8.4-99.9-99.9 8.8 8016.1 72 14.0   3  2.714.9 5.4
5283020130426 29.3 12.6  0.009999-99.9 11.5-99.9-99.9 7.7 7116.8 62 14.7   5  3.713.5 6.8
5283020130427 31.4 17.5 51.519999-99.9 16.4-99.9-99.9 7.5 6819.2 62 16.8   7  5.613.110.2
5283020130428 24.7 17.4  6.819999-99.9 16.7-99.9-99.9 2.8 2521.8 89 18.8   3  2.5 7.5 3.1
5283020130429 25.4  9.5  0.009999-99.9  8.5-99.9-99.9 7.8 7216.0 83 13.9   2  1.413.3 3.0
5283020130430 24.7  8.8  0.819999-99.9  7.8-99.9-99.9 8.3 7716.1 78 14.0   4  3.213.9 3.7
5283020130501 20.1 15.6 46.819999-99.9 15.1-99.9-99.9-9.9 9921.1100 18.3   6  4.7 1.9-9.9
5283020130502 20.5 18.6101.219999-99.9 18.4-99.9-99.9-9.9 9922.1100 19.1   7  5.5 0.3-9.9
5283020130503 25.2 16.6  0.819999-99.9 15.8-99.9-99.9 4.5 4220.6 93 18.0   8  6.8 9.2 4.3
5283020130504 22.0 11.5  0.009999-99.9 10.0-99.9-99.9 6.7 6215.7 88 13.6   4  3.011.6 3.5
5283020130505 23.3 10.0  0.009999-99.9  8.3-99.9-99.9 8.5 8014.1 82 12.0   3  2.113.6 3.1
5283020130506 25.9  8.4  0.009999-99.9  7.7-99.9-99.9 8.4 7914.9 71 12.6   7  5.713.4 5.8
5283020130507 19.5  6.8  0.009999-99.9  6.1-99.9-99.9 8.6 8110.4 76  7.5   4  3.113.6 5.0
5283020130508 23.5  4.9  0.009999-99.9  4.0-99.9-99.9 8.3 7811.7 72  9.2  10  8.013.1 6.6
5283020130509 25.3  8.4  0.009999-99.9  6.9-99.9-99.9 8.5 8014.5 79 12.5   7  5.513.2 5.6
5283020130510 27.9 10.9  0.219999-99.9  9.7-99.9-99.9 8.0 7516.6 75 14.5   8  6.812.6 6.6
5283020130511 25.3 14.8  0.009999-99.9 13.4-99.9-99.9 4.8 4618.3 87 16.1   2  1.7 9.1 3.0
5283020130512 21.2 11.1  0.009999-99.9 10.2-99.9-99.9 1.1 1018.1 98 15.8   3  2.3 4.9 1.0
5283020130513 23.2 10.1  0.219999-99.9  9.3-99.9-99.9 0.9  819.0 95 16.4   3  2.2 4.6 0.9
5283020130514 21.3 13.1  1.019999-99.9 12.6-99.9-99.9-9.9 9918.2 99 15.9   1  0.9 2.6-9.9
5283020130515 15.3  4.5  0.219999-99.9  3.7-99.9-99.9 3.1 3010.0 72  6.1   8  6.7 7.0 5.8
5283020130516 15.6 -0.2  0.009999-99.9 -0.7-99.9-99.9 8.5 81 7.2 73  2.3   3  2.512.6 2.7
5283020130517 17.7 -1.1  0.009999-99.9 -2.5-99.9-99.9 8.3 80 7.8 72  3.2   2  2.012.4 2.2
5283020130518 11.7  6.1 14.219999-99.9  5.1-99.9-99.9-9.9 9911.6 97  9.0   5  4.2 1.3-9.9
5283020130519 14.1 10.1  0.219999-99.9  9.9-99.9-99.9-9.9 9914.2100 12.2   4  3.2 1.9-9.9
5283020130520 18.0  7.3  0.009999-99.9  6.0-99.9-99.9 4.9 4812.8 88 10.5   4  2.9 8.7 2.3
5283020130521 15.1  3.7  0.009999-99.9  2.9-99.9-99.9 3.5 3410.8 96  8.0   2  1.4 7.2 0.7
5283020130522 15.7  6.1  0.009999-99.9  4.4-99.9-99.9-9.9 9914.9100 12.8   3  2.6 1.6-9.9
