5011419560704-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 67  2.3   9  7.2-9.9-9.9
5011419560705-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 81  3.0   9  7.2-9.9-9.9
5011419560706-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 68 -3.6   7  5.6-9.9-9.9
5011419560707-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.4 71 -1.7   4  3.2-9.9-9.9
5011419560708-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 70 -0.7   6  4.8-9.9-9.9
5011419560709-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 75  5.0   7  5.6-9.9-9.9
5011419560710-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 60  1.3   4  3.2-9.9-9.9
5011419560711-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 66  2.9   4  3.2-9.9-9.9
5011419560712-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 68  3.9   6  4.8-9.9-9.9
5011419560713-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 75  9.8   4  3.2-9.9-9.9
5011419560714-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 78  9.3   4  3.2-9.9-9.9
5011419560715-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 78  9.0   7  5.6-9.9-9.9
5011419560716-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.0 73 12.0  13 10.4-9.9-9.9
5011419560717-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 83  8.6  14 11.2-9.9-9.9
5011419560718-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 75  0.9   4  3.2-9.9-9.9
5011419560719-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 63 -2.7   6  4.8-9.9-9.9
5011419560720-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 59 -3.3   4  3.2-9.9-9.9
5011419560721-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 61  1.3   4  3.2-9.9-9.9
5011419560722-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 57  0.2   4  3.2-9.9-9.9
5011419560723-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 63  1.3   4  3.2-9.9-9.9
5011419560724-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 76  1.9   4  3.2-9.9-9.9
5011419560725-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 78  3.9   6  4.8-9.9-9.9
5011419560726-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5011419560727-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 87  5.8  16 12.8-9.9-9.9
5011419560728-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.4 72  4.5   9  7.2-9.9-9.9
5011419560729-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 68  5.8  11  8.8-9.9-9.9
5011419560730-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 89  7.1  13 10.4-9.9-9.9
5011419560731-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 82  2.9  13 10.4-9.9-9.9
5011419560801-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 82  1.7   4  3.2-9.9-9.9
5011419560802-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 90  2.3   9  7.2-9.9-9.9
5011419560803-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 86 -0.5   9  7.2-9.9-9.9
5011419560804-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 62 -3.3   9  7.2-9.9-9.9
5011419560805-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 74 -1.0   7  5.6-9.9-9.9
5011419560806-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 63 -1.2   4  3.2-9.9-9.9
5011419560807-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 61  2.7   9  7.2-9.9-9.9
5011419560808-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 72  7.7   6  4.8-9.9-9.9
5011419560809-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 70  8.5   9  7.2-9.9-9.9
5011419560810-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 92  9.0   6  4.8-9.9-9.9
5011419560811-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 67  6.7   9  7.2-9.9-9.9
5011419560812-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 66  6.4   7  5.6-9.9-9.9
5011419560813-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 65  4.1   9  7.2-9.9-9.9
5011419560814-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 61  6.8  18 14.4-9.9-9.9
5011419560815-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 67  5.8  19 15.2-9.9-9.9
5011419560816-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 81  3.0  34 27.2-9.9-9.9
5011419560817-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 68  1.9   9  7.2-9.9-9.9
5011419560818-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.5 52 -1.4   9  7.2-9.9-9.9
5011419560819-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 57  0.4   9  7.2-9.9-9.9
5011419560820-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 66  1.5   7  5.6-9.9-9.9
5011419560821-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 70  4.1  14 11.2-9.9-9.9
5011419560822-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 62 -1.9  17 13.6-9.9-9.9
5011419560823-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 62 -1.9   4  3.2-9.9-9.9
5011419560824-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 64  0.0   7  5.6-9.9-9.9
5011419560825-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 53 -0.2   6  4.8-9.9-9.9
5011419560826-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 58  2.1  11  8.8-9.9-9.9
5011419560827-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 55  4.6   9  7.2-9.9-9.9
5011419560828-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 58  6.5  19 15.2-9.9-9.9
5011419560829-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.3 75 10.0  27 21.6-9.9-9.9
5011419560830-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 97  6.7  11  8.8-9.9-9.9
5011419560831-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 93  2.9  22 17.6-9.9-9.9
