5044519681217 35.0 14.7  0.009999-99.9-99.9-99.9-99.9 0.0  015.7 43 13.7  11  8.8 8.1 4.0
5044519681218 32.4 20.6  0.009999-99.9-99.9-99.9-99.9 0.0  016.6 44 14.6  11  8.8 8.1 4.2
5044519681219 33.0 17.6  0.009999-99.9-99.9-99.9-99.9 0.0  017.6 51 15.5  14 11.2 8.1 4.2
5044519681220 30.6 18.7  0.009999-99.9-99.9-99.9-99.9 0.0  016.6 48 14.6  17 13.6 8.1 4.5
5044519681221 24.5 17.6  0.009999-99.9-99.9-99.9-99.9 0.0  013.2 53 11.1   9  7.2 8.1 3.4
5044519681222 31.1  9.5  0.009999-99.9-99.9-99.9-99.9 0.0  015.4 55 13.4   9  7.2 8.1 2.9
5044519681223 27.9 14.5  0.009999-99.9-99.9-99.9-99.9 0.0  011.4 40  8.9   7  5.6 8.1 3.4
5044519681224 32.2 12.0  0.009999-99.9-99.9-99.9-99.9 0.0  014.3 47 12.3   7  5.6 8.1 3.2
5044519681225 35.0 15.5  0.009999-99.9-99.9-99.9-99.9 0.0  016.3 46 14.3  10  8.0 8.1 3.9
5044519681226 34.2 19.5  0.009999-99.9-99.9-99.9-99.9 0.0  016.4 53 14.4  14 11.2 8.1 4.7
5044519681227 30.5 14.8  0.009999-99.9-99.9-99.9-99.9 0.0  014.7 48 12.7   3  2.4 8.1 2.8
5044519681228 34.9 12.0  0.009999-99.9-99.9-99.9-99.9 0.0  014.7 42 12.7   3  2.4 8.1 2.9
5044519681229 34.5 15.7  0.009999-99.9-99.9-99.9-99.9 0.0  017.6 48 15.5  14 11.2 8.1 4.1
5044519681230 38.4 16.2  0.009999-99.9-99.9-99.9-99.9 0.0  015.5 57 13.5   8  6.4 8.0 4.1
5044519681231 26.0 16.2  0.009999-99.9-99.9-99.9-99.9 0.0  013.8 52 11.8  11  8.8 8.0 3.5
5044519690101 27.8 18.3  0.009999-99.9-99.9-99.9-99.9 0.0  011.4 42  8.9   3  2.4 8.0 3.1
5044519690102 34.5 11.7  0.009999-99.9-99.9-99.9-99.9 0.0  012.0 38  9.7   1  0.8 8.0 2.8
5044519690103 37.8 15.1  0.009999-99.9-99.9-99.9-99.9 0.0  012.6 33 10.4  11  8.8 8.0 4.7
5044519690104 33.1 20.1  0.009999-99.9-99.9-99.9-99.9 0.0  010.6 28  7.8  12  9.6 8.0 5.1
5044519690105 34.4 18.5  0.009999-99.9-99.9-99.9-99.9 0.0  012.1 34  9.8   5  4.0 8.0 3.8
5044519690106 38.2 19.8  0.009999-99.9-99.9-99.9-99.9 0.0  013.6 35 11.5   9  7.2 8.0 4.7
5044519690107 33.1 19.8  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.1 23  5.6   8  6.4 8.0 4.6
5044519690108 38.2 15.4  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 38 12.6  10  8.0 8.0 4.3
5044519690109 32.8 23.7  0.009999-99.9-99.9-99.9-99.9 0.0  010.0 26  7.0  13 10.4 8.0 5.7
5044519690110 31.0 19.4  0.009999-99.9-99.9-99.9-99.9 0.0  0 8.4 26  4.5   7  5.6 8.0 4.3
5044519690111 33.6 14.0  0.009999-99.9-99.9-99.9-99.9 0.0  013.7 44 11.6   4  3.2 8.0 3.2
5044519690112 38.0 16.8  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 38 12.6   2  1.6 7.9 3.2
5044519690113 37.7 18.1  0.009999-99.9-99.9-99.9-99.9 0.0  014.5 34 12.5  15 12.0 7.9 5.3
5044519690114 35.5 26.1  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.5 22  6.2   5  4.0 7.9 4.4
5044519690115 38.2 18.8  0.009999-99.9-99.9-99.9-99.9 0.0  013.1 30 11.0  11  8.8 7.9 4.9
