5047519710606  6.9  4.0  0.009900  4.1-99.9-99.9-99.9 0.0  0 7.6 85  3.0  11  8.8 4.0 0.9
5047519710607  7.8  4.2  0.009900  4.2-99.9-99.9-99.9 0.1  1 7.5 84  2.9  13 10.4 4.1 1.0
5047519710608 16.4 -1.1  0.009900 -3.5-99.9-99.9-99.9 8.2 77 5.4 57 -1.7   9  7.213.4 1.6
5047519710609 18.4 -3.0  0.009900 -5.9-99.9-99.9-99.9 8.9 84 5.1 54 -2.5   7  5.614.1 1.4
5047519710610 14.4  5.9  0.009900  5.6-99.9-99.9-99.9 2.5 24 6.5 59  0.9  13 10.4 6.8 2.0
5047519710611 10.1  4.4  0.009900  5.7-99.9-99.9-99.9 1.8 17 7.4 80  2.7   6  4.8 6.0 1.0
5047519710612 20.6 -2.9  0.009900 -5.5-99.9-99.9-99.9 8.9 84 5.9 60 -0.5   9  7.214.1 1.6
5047519710613 20.4 -1.3  0.009900 -4.4-99.9-99.9-99.9 9.3 88 6.2 58  0.2  11  8.814.5 1.8
5047519710614 19.5 -0.6  0.009900 -3.5-99.9-99.9-99.9 9.6 91 7.3 62  2.5   9  7.214.8 1.5
5047519710615 18.5  0.4  0.009900 -2.7-99.9-99.9-99.9 8.4 80 7.9 66  3.6  11  8.813.4 1.5
5047519710616 12.1  6.0  0.009900  8.8-99.9-99.9-99.9 0.0  0 8.6 81  4.8  16 12.8 3.9 1.4
5047519710617 11.4  5.9  0.009900  6.1-99.9-99.9-99.9 1.4 13 8.9 84  5.3   8  6.4 5.5 1.0
5047519710618 18.2  0.2  0.009900 -2.2-99.9-99.9-99.9 5.8 55 8.6 76  4.8  10  8.010.5 1.3
5047519710619 23.9 -0.5  0.009900 -3.0-99.9-99.9-99.9 9.2 87 8.0 63  3.8   9  7.214.3 1.6
5047519710620 21.6  2.1  0.009900 -0.8-99.9-99.9-99.9 9.1 86 9.2 71  5.8  11  8.814.2 1.6
5047519710621 28.9  2.8  0.009900 -0.9-99.9-99.9-99.9 9.0 85 4.4 29 -4.4  20 16.014.1 3.9
5047519710622 23.3  5.7  0.009900  3.0-99.9-99.9-99.9 9.3 88 7.0 62  1.9  18 14.414.4 2.9
5047519710623 11.3  2.8  0.009900  4.2-99.9-99.9-99.9 3.3 31 6.7 75  1.3   8  6.4 7.6 1.2
5047519710624 28.7 -4.8  0.009900 -6.1-99.9-99.9-99.9 8.2 78 5.2 50 -2.2  11  8.813.2 2.2
5047519710625 18.4 -1.7  0.009900 -5.2-99.9-99.9-99.9 9.5 90 4.2 40 -5.0   8  6.414.6 1.6
5047519710626 19.4 -1.6  0.009900 -4.3-99.9-99.9-99.9 9.5 90 7.2 63  2.3   9  7.214.7 1.4
5047519710627 20.1 -0.4  0.009900 -4.5-99.9-99.9-99.9 9.5 90 5.8 56 -0.7  11  8.814.7 1.8
5047519710628 29.7 -1.9  0.009900 -4.8-99.9-99.9-99.9 9.5 90 4.6 39 -3.8  11  8.814.7 2.4
5047519710629 19.5  5.0  0.009900  0.6-99.9-99.9-99.9 9.5 90 7.6 58  3.0  11  8.814.7 1.9
5047519710630 20.7 -1.1  0.009900 -3.8-99.9-99.9-99.9 8.7 82 6.6 58  1.1  13 10.413.8 1.9
5047519710701 14.3  2.1  0.009900 -0.8-99.9-99.9-99.9 7.6 72 4.3 42 -4.7   8  6.412.6 1.7
5047519710702 19.6 -3.6  0.009900 -7.0-99.9-99.9-99.9 9.4 89 4.7 50 -3.6   9  7.214.6 1.6
5047519710703 17.7 -2.6  0.009900 -6.6-99.9-99.9-99.9 8.6 81 4.4 45 -4.4  20 16.013.7 2.6
5047519710704 14.9 -2.8  0.009900 -6.2-99.9-99.9-99.9 8.9 84 3.7 45 -6.7  11  8.814.1 1.8
5047519710705 19.1 -3.6  0.009900 -7.1-99.9-99.9-99.9 9.4 89 4.2 44 -5.0   7  5.614.7 1.5
5047519710706 20.1 -1.1  0.009900 -6.1-99.9-99.9-99.9 9.5 90 4.6 42 -3.8  11  8.814.8 2.0
5047519710707 19.0 -1.1  0.009900 -4.8-99.9-99.9-99.9 9.5 90 6.0 54 -0.2   8  6.414.9 1.5
5047519710708 22.5 -0.7  0.009900 -3.4-99.9-99.9-99.9 9.6 90 7.2 56  2.3   7  5.615.0 1.6
5047519710709 28.6  1.3  0.009900 -1.6-99.9-99.9-99.9 9.6 90 7.7 51  3.2   9  7.215.1 2.1
5047519710710 24.5  5.6  0.009900  2.6-99.9-99.9-99.9 9.6 9011.6 67  9.2   9  7.215.1 1.8
5047519710711 25.8  6.9  0.009900  4.1-99.9-99.9-99.9 8.3 7813.1 74 11.0  14 11.213.6 2.2
5047519710712 19.5  7.6  0.009900  4.7-99.9-99.9-99.9 5.8 54 9.5 61  6.2  11  8.810.8 1.9
5047519710713 17.0  5.1  0.009900  3.1-99.9-99.9-99.9 8.2 77 7.3 55  2.5   6  4.813.6 1.5
5047519710714 21.0  1.0  0.009900 -2.0-99.9-99.9-99.9 9.3 87 7.6 61  3.0   9  7.214.9 1.7
