5055719710722 12.0  4.0  0.009999  1.4-99.9-99.9-99.9 0.0  0 9.5 83  6.2  17 14.1 2.3 0.7
5055719710723 11.5  5.7  0.009999  0.1-99.9-99.9-99.9 8.3 78 6.6 66  1.1   9  7.4 8.0 1.2
5055719710724 15.1 -1.2  0.009999 -4.1-99.9-99.9-99.9 3.5 33 6.1 68  0.8  14 11.7 4.8 1.4
5055719710725 15.0  2.8  0.009999  1.4-99.9-99.9-99.9 6.7 62 5.6 59 -9.0   6  5.0 7.0 1.2
5055719710726 15.8  3.8  0.009999 -0.4-99.9-99.9-99.9 5.8 54 7.8 70  3.1   6  4.8 6.5 0.9
5055719710727 13.6  3.3  0.009999 -1.6-99.9-99.9-99.9 6.1 57 7.0 83  1.9   5  4.6 6.8 0.8
5055719710728  6.9 -1.2  0.009999 -6.6-99.9-99.9-99.9 2.3 21 6.2 91  0.1   2  1.6 4.1 0.3
5055719710729  6.0 -3.7  4.619999 -7.3-99.9-99.9-99.9 0.0  0 6.9 92  1.5   8  6.7 2.5 0.2
5055719710730 11.5  1.0  0.009999 -2.6-99.9-99.9-99.9 5.7 52 7.7 90  3.1   4  3.3 6.6 0.4
5055719710731 14.0  2.3  0.009999 -1.6-99.9-99.9-99.9 7.3 66 1.9 79  1.1   9  7.9 7.8 2.4
5055719710801 15.0  0.8  0.009999 -4.6-99.9-99.9-99.9 4.1 37 6.0 60 -0.3   3  2.5 5.6 0.8
5055719710802 14.5  7.8  0.009999  2.9-99.9-99.9-99.9 6.0 55 6.1 50 -0.3  36 29.6 7.1 4.3
5055719710803 11.5  4.3  0.009999 -0.1-99.9-99.9-99.9 6.9 62 5.5 53 -1.2  23 18.8 7.8 2.4
5055719710804 12.0  2.8  0.009999  0.7-99.9-99.9-99.9 8.4 76 5.8 56 -0.7  18 14.8 9.0 1.8
5055719710805 15.5  3.8  0.009999 -2.1-99.9-99.9-99.9 3.6 32 6.8 53  1.4  21 17.0 5.4 2.1
5055719710806 13.0  2.7  0.009999 -2.6-99.9-99.9-99.9 7.3 65 5.4 51 -1.5  13 10.8 8.3 1.7
5055719710807 21.5  5.4  0.009999  0.8-99.9-99.9-99.9 2.9 26 5.1 35 -3.4  24 19.6 5.0 4.2
5055719710808 19.4  8.3  1.019999  7.4-99.9-99.9-99.9 7.6 68 6.1 47 -0.6  15 12.4 8.8 2.8
5055719710809 14.0  5.3  0.009999  2.9-99.9-99.9-99.9 1.7 15 8.1 66  3.9   9  7.8 4.2 1.2
5055719710810 19.5 -1.4  0.009999 -4.6-99.9-99.9-99.9 3.2 28 7.8 63  3.2  11  9.5 5.4 1.2
5055719710811 16.6  6.3  0.009999  8.4-99.9-99.9-99.9 8.0 71 6.8 55  1.6   7  6.2 9.4 1.4
5055719710812 13.6 -0.7  0.009999 -6.6-99.9-99.9-99.9 9.2 81 5.0 62  2.6   6  5.010.4 1.0
5055719710813 17.9 -3.2  0.009999 -7.6-99.9-99.9-99.9 6.1 53 3.8 47 -6.9  13 10.5 7.9 2.1
5055719710814 17.5  3.7  0.009999 -1.6-99.9-99.9-99.9 8.7 76 6.1 50 -0.9   8  6.510.2 1.5
5055719710815 14.2  0.3  0.009999 -4.6-99.9-99.9-99.9 0.2  1 6.4 66  6.0   7  6.2 3.2 1.2
5055719710816 14.9  0.0  0.009999 -6.6-99.9-99.9-99.9 8.5 73 4.5 46 -4.1  11  9.310.2 1.7
5055719710817 14.0 -1.2  0.009999 -4.6-99.9-99.9-99.9 0.0  0 4.7 54 -3.6   5  4.6 3.2 1.4
5055719710818 10.2  3.8  0.009999 -2.6-99.9-99.9-99.9 0.4  3 7.3 77  2.3   5  4.3 3.5 0.9
5055719710819  9.0 -0.2  0.009999 -2.6-99.9-99.9-99.9 2.7 23 6.1 77  0.1   4  3.4 5.6 0.7
5055719710820  9.0  3.3 20.019999  0.4-99.9-99.9-99.9 0.0  0 8.5 92  4.6   7  5.7 3.3 0.6
5055719710821 15.0  6.3  0.009999  4.8-99.9-99.9-99.9 5.3 45 7.0 71  3.2  19 15.4 8.0 2.3
5055719710822 15.0  6.3  0.009999  2.4-99.9-99.9-99.9 5.1 43 6.0 54 -5.0   8  6.4 7.9 1.6
5055719710823 11.4 -1.5  0.009999 -5.6-99.9-99.9-99.9 9.2 77 4.9 60 -3.1   4  3.711.6 0.8
5055719710824 19.0  1.8  0.009999 -1.4-99.9-99.9-99.9 4.9 41 7.2 68  2.2   7  5.7 7.9 1.4
5055719710825 20.5  0.6  0.009999 -2.4-99.9-99.9-99.9 7.7 65 8.5 54  4.6   8  7.010.6 1.3
5055719710826 22.4  7.1  0.009999  2.4-99.9-99.9-99.9 8.4 70 8.6 57  4.7  11  9.511.2 2.2
5055719710827 19.5  8.1  0.009999  1.9-99.9-99.9-99.9 8.8 73 8.8 68  5.0   6  5.011.7 1.5
5055719710828 20.5  6.8  0.009999  1.9-99.9-99.9-99.9 1.8 14 8.5 61  4.5   6  5.2 5.2 1.7
5055719710829 15.5  7.3  0.009999  2.8-99.9-99.9-99.9 0.0  0 6.0 53 -0.1   2  2.2 3.7 1.5
5055719710830 12.0  0.7  0.009999 -2.6-99.9-99.9-99.9 4.2 34 6.3 72  4.0   4  3.9 7.7 1.0
5055719710831 16.5  2.3  0.009999 -0.1-99.9-99.9-99.9 8.8 72 6.0 60 -0.6   7  5.712.2 1.5
5055719710901 13.7  2.4  0.009999  0.4-99.9-99.9-99.9 0.1  0 7.4 72  2.6   7  5.7 3.9 1.2
5055719710902 19.2  0.3  0.009999 -3.1-99.9-99.9-99.9 9.4 77 6.6 60  8.0   4  3.313.1 1.3
5055719710903 17.7  0.8  0.009999 -2.3-99.9-99.9-99.9 7.5 60 4.8 44 -3.3   6  5.611.2 1.8
5055719710904 23.3  1.8  0.009999 -0.9-99.9-99.9-99.9 9.1 73 7.2 58  2.2  11  9.412.9 2.3
5055719710905 18.8  4.4  0.009999  1.9-99.9-99.9-99.9 7.6 61 6.1 48 -0.1   8  6.911.6 2.1
5055719710906 19.2  4.7  0.009999  1.8-99.9-99.9-99.9 7.8 62 5.7 41 -8.1  17 14.111.9 3.1
5055719710907 15.6  6.4  0.009999  5.4-99.9-99.9-99.9 4.5 36 6.6 52  9.0   8  7.1 8.7 2.0
5055719710908 12.0  2.3  0.009999 -1.4-99.9-99.9-99.9 1.7 13 7.9 78  3.5  13 10.5 5.9 1.2
5055719710909 17.2  7.0  0.009999  4.9-99.9-99.9-99.9 7.7 61 8.7 80  5.0  26 21.012.2 3.1
5055719710910 12.4  5.3  2.119999  7.8-99.9-99.9-99.9 0.5  310.1 89  7.1  18 14.5 4.7 1.0
